#,Player,GP,NO,YDS,AVG,TD,Long,AVG/G,Bio Link
82.0,"Seer, Robert 82 Seer, Robert",10,84,1152,13.71,18,78,115.2,View Bio
2.0,"Granera, Logan 2 Granera, Logan",10,55,676,12.29,4,70,67.6,View Bio
5.0,"Weber, Cody 5 Weber, Cody",10,42,398,9.48,3,51,39.8,View Bio
10.0,"Peters, Jason 10 Peters, Jason",10,42,392,9.33,3,31,39.2,View Bio
1.0,"Baker, Trent 1 Baker, Trent",10,18,329,18.28,1,78,32.9,View Bio
,"Singh-mann, Har  Singh-mann, Har",8,8,80,10.0,0,23,10.0,
8.0,"Jacobson, Max 8 Jacobson, Max",8,3,29,9.67,0,13,3.63,View Bio
,Total,10,252,3056,12.13,29,78,305.6,
,Opponents,10,200,2516,12.58,19,80,251.6,
