Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
9/3/2011,Macalester,38,127,0,19,23,350,4,78,350,4,78,2,32,0,16,5,32,0,15
9/10/2011,Monmouth College,31,58,0,11,27,342,3,51,342,3,51,8,76,0,17,0,0,0,0
9/17/2011,Ripon College,17,85,0,20,19,213,3,34,213,3,34,6,105,0,40,3,16,0,6
9/24/2011,Lake Forest College,26,70,2,14,27,338,5,31,338,5,31,4,130,0,61,1,6,0,6
10/1/2011,Beloit College,30,107,3,25,30,333,1,78,333,1,78,3,64,0,26,1,13,0,13
10/8/2011,Knox College,34,117,2,36,21,313,4,40,313,4,40,3,35,0,15,2,26,0,18
10/15/2011,Lawrence University,30,41,0,8,17,151,2,22,151,2,22,3,39,0,20,3,41,0,24
10/22/2011,St. Norbert College,12,-2,0,8,36,476,4,56,476,4,56,6,94,0,21,0,0,0,0
10/29/2011,Illinois College,13,41,0,13,29,233,2,34,233,2,34,6,112,0,39,0,0,0,0
11/5/2011,Carroll University,25,96,2,14,23,307,1,70,307,1,70,4,70,0,28,2,20,0,14
