Stat,Value,Player/Opponent
Rushes,61,vs Ripon College (9/17/2011)
Yards Rushing,298,vs Monmouth College (9/10/2011)
TD Rushes,5,vs Ripon College (9/17/2011)
Pass Attempts,46,vs Lake Forest College (9/24/2011)
Pass Completions,31,vs Lake Forest College (9/24/2011)
Yards Passing,438,vs Illinois College (10/29/2011)
TD Passes,4,vs Monmouth College (9/10/2011)
