Date,Opponent,Tackles,Tackles,Tackles,Tackles,Tackles,Sacks,Sacks,Fumble,Fumble,Fumble,INT,INT,QBH,Pass Brup,Blkd Kick,SAF
Date,Opponent,Solo,AST,TOT,TFL,YDS,TOT,YDS,FF,FR,YDS,TOT,YDS,QBH,Pass Brup,Blkd Kick,SAF
9/3/2011,Macalester,28,34,62,3.0,6,1.0,3,4,3,0,2,0,0,3,1,0
9/10/2011,Monmouth College,36,56,92,3.0,15,2.0,10,2,2,0,0,0,0,1,0,0
9/17/2011,Ripon College,42,48,90,2.0,6,0.0,0,0,0,0,1,0,0,1,1,0
9/24/2011,Lake Forest College,40,50,90,4.0,11,1.0,6,1,1,0,1,0,0,5,0,0
10/1/2011,Beloit College,29,18,47,7.0,27,2.0,14,1,2,0,0,0,0,2,0,0
10/8/2011,Knox College,24,58,82,6.0,17,1.0,7,0,0,0,3,5,0,5,1,0
10/15/2011,Lawrence University,40,8,48,9.0,41,4.0,25,1,0,0,1,0,0,2,0,0
10/22/2011,St. Norbert College,32,44,76,2.0,7,1.0,6,0,0,0,1,4,0,3,1,0
10/29/2011,Illinois College,37,66,103,8.0,26,1.0,4,2,0,0,0,0,0,1,1,1
11/5/2011,Carroll University,23,70,93,14.0,41,6.0,23,0,0,0,2,0,0,3,0,0
