Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/3/2011,Macalester,8,332,41.5,55,0,0,0,2,3,0-1,0.0,1,2,128,64.0,0,0
9/10/2011,Monmouth College,1,47,47.0,47,0,0,1,0,0,1-1,30.0,0,10,555,55.5,2,0
9/17/2011,Ripon College,4,130,21.65,56,1,0,0,1,2,1-1,45.0,0,6,311,51.83,0,0
9/24/2011,Lake Forest College,2,62,31.0,39,0,0,0,0,1,0-0,,0,5,179,35.8,0,0
10/1/2011,Beloit College,4,148,37.0,45,0,1,0,0,0,0-0,,0,4,175,43.75,0,0
10/8/2011,Knox College,5,205,41.0,49,0,1,0,0,1,0-0,,0,4,234,58.5,1,0
10/15/2011,Lawrence University,7,205,29.3,42,0,0,0,0,1,1-1,29.0,0,3,173,57.67,0,0
10/22/2011,St. Norbert College,1,42,42.0,42,0,0,0,0,1,1-3,32.0,1,6,357,59.5,0,0
10/29/2011,Illinois College,1,35,35.0,35,0,0,0,0,1,0-0,,0,9,352,39.11,1,1
11/5/2011,Carroll University,8,257,32.1,56,0,0,0,1,2,1-1,25.0,0,6,368,61.33,2,0
