#,Player,GP,ATT,Gain,Loss,Net,AVG,TD,Long,AVG/G,Bio Link
5.0,"Weber, Cody 5 Weber, Cody",10,109,507,33,474,4.3,6,25,47.4,View Bio
3.0,"Hinojosa, Nick 3 Hinojosa, Nick",5,35,121,16,105,3.0,0,19,21.0,View Bio
10.0,"Peters, Jason 10 Peters, Jason",10,15,91,1,90,6.0,1,36,9.0,View Bio
11.0,"McCabe, Mike 11 McCabe, Mike",10,72,251,169,82,1.1,2,17,8.2,View Bio
47.0,"Reynolds, Daniel 47 Reynolds, Daniel",3,8,21,1,20,2.5,0,9,6.67,View Bio
2.0,"Granera, Logan 2 Granera, Logan",10,4,7,2,5,1.3,0,3,0.5,View Bio
28.0,"Schaid, TJ 28 Schaid, TJ",1,2,3,0,3,1.5,0,3,3.0,View Bio
9.0,"Taylor, Brian 9 Taylor, Brian",10,1,1,0,1,1.0,0,1,0.1,View Bio
,Team  Team,6,5,0,19,-19,-3.8,0,0,-3.17,
7.0,"Borrasso, Jimmy 7 Borrasso, Jimmy",8,5,5,26,-21,-4.2,0,4,-2.63,View Bio
,Total,10,256,1007,267,740,2.9,9,36,74.0,
,Opponents,10,380,1756,235,1521,4.0,24,53,152.1,
