#,Player,NO,YDS,AVG,Long,TB,FC,I20,50+,BLK,Bio Link
2.0,"Granera, Logan 2 Granera, Logan",29,1101,37.97,79,4,3,6,4,1,View Bio
18.0,"Howard, Seth 18 Howard, Seth",11,299,27.18,52,0,0,3,1,0,View Bio
10.0,"Peters, Jason 10 Peters, Jason",6,159,26.5,46,0,2,1,0,0,View Bio
,Team  Team,1,0,0.0,0,0,0,0,0,0,
,"Westerlind, Bri  Westerlind, Bri",1,47,47.0,47,0,0,1,0,0,
,Total,48,1606,33.46,79,4,5,11,5,1,
,Opponents,41,1463,35.68,56,2,1,12,4,1,
