#,Unnamed: 1_level_0,Unnamed: 2_level_0,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
1.0,"Kuhn, Kaylin 1Kuhn, Kaylin",87,270,3.1,30,0,0.0,0.34,5,17,22.0,0.25,2,0,View Bio
2.0,"Chulaki, Sonia 2Chulaki, Sonia",13,12,0.92,0,0,0.0,0.0,0,1,1.0,0.08,0,0,View Bio
5.0,"Smith, Madison 5Smith, Madison",85,197,2.32,26,0,0.0,0.31,0,0,0.0,0.0,0,2,View Bio
6.0,"Ambrosoli, Isabel 6Ambrosoli, Isabel",9,11,1.22,0,0,0.0,0.0,0,0,0.0,0.0,1,2,View Bio
7.0,"Giles, Margaret 7 Giles, Margaret",87,237,2.72,0,0,0.0,0.0,10,18,28.0,0.32,1,8,View Bio
9.0,"Vrecenar, Sydney 9 Vrecenar, Sydney",87,241,2.77,45,0,0.0,0.52,0,3,3.0,0.03,0,2,View Bio
11.0,"Jensen, Olivia 11Jensen, Olivia",81,51,0.63,1,0,0.0,0.01,9,31,40.0,0.49,1,2,View Bio
12.0,"Carbajal, Sophia 12Carbajal, Sophia",23,5,0.22,0,0,0.0,0.0,6,11,17.0,0.74,0,0,View Bio
13.0,"Johnson, Alissa 13Johnson, Alissa",9,3,0.33,2,0,0.0,0.22,0,0,0.0,0.0,1,0,View Bio
14.0,"Taylor, Hannah 14Taylor, Hannah",72,23,0.32,0,0,0.0,0.0,4,21,25.0,0.35,0,1,View Bio
19.0,"Hill, Nora 19Hill, Nora",37,8,0.22,1,0,0.0,0.03,1,1,2.0,0.05,0,0,View Bio
22.0,"Taylor, Deanna 22 Taylor, Deanna",85,428,5.04,28,0,0.0,0.33,0,1,1.0,0.01,0,1,View Bio
23.0,"Willhardt, Emma 23 Willhardt, Emma",77,35,0.45,1,0,0.0,0.01,23,21,44.0,0.57,2,2,View Bio
,Total,87,1521,17.48,151,0,0.0,1.74,58,125,120.5,1.39,8,21,
,Opponents,87,1585,18.22,186,0,0.0,2.14,66,147,139.5,1.6,35,38,
