#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,SET,SET,SERVE,SERVE,SERVE,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
1.0,"Kuhn, Kaylin 1Kuhn, Kaylin",87,24,13.0,335.5,3.86,285,3.28,126,811,0.196,12,0.14,37,0.43,40,View Bio
2.0,"Chulaki, Sonia 2Chulaki, Sonia",13,10,0.0,0.5,0.04,0,0.0,0,0,0.0,1,0.08,0,0.0,5,View Bio
5.0,"Smith, Madison 5Smith, Madison",85,24,13.0,29.0,0.34,9,0.11,9,51,0.0,19,0.22,20,0.24,22,View Bio
6.0,"Ambrosoli, Isabel 6Ambrosoli, Isabel",9,6,0.0,1.0,0.11,1,0.11,1,3,0.0,35,3.89,0,0.0,0,View Bio
7.0,"Giles, Margaret 7 Giles, Margaret",87,24,13.0,86.0,0.99,50,0.57,14,187,0.193,790,9.08,17,0.2,30,View Bio
9.0,"Vrecenar, Sydney 9 Vrecenar, Sydney",87,24,10.0,138.5,1.59,97,1.11,70,479,0.056,21,0.24,40,0.46,38,View Bio
11.0,"Jensen, Olivia 11Jensen, Olivia",81,22,12.0,280.5,3.46,218,2.69,44,529,0.329,7,0.09,38,0.47,23,View Bio
12.0,"Carbajal, Sophia 12Carbajal, Sophia",23,10,2.0,45.5,1.98,34,1.48,19,106,0.142,0,0.0,0,0.0,2,View Bio
13.0,"Johnson, Alissa 13Johnson, Alissa",9,7,0.0,5.0,0.56,3,0.33,4,11,-0.091,0,0.0,2,0.22,1,View Bio
14.0,"Taylor, Hannah 14Taylor, Hannah",72,21,0.0,95.5,1.33,81,1.13,28,237,0.224,5,0.07,0,0.0,0,View Bio
19.0,"Hill, Nora 19Hill, Nora",37,14,3.0,38.5,1.04,34,0.92,23,166,0.066,3,0.08,3,0.08,5,View Bio
22.0,"Taylor, Deanna 22 Taylor, Deanna",85,24,1.0,40.5,0.48,8,0.09,4,41,0.098,44,0.52,32,0.38,33,View Bio
23.0,"Willhardt, Emma 23 Willhardt, Emma",77,21,11.0,224.5,2.92,191,2.48,62,521,0.248,5,0.06,0,0.0,0,View Bio
,Total,87,24,,1320.5,15.18,1011,11.62,404,3142,0.193,942,10.83,189,2.17,199,
,Opponents,87,24,,1208.5,13.89,916,10.53,463,3121,0.145,844,9.7,153,1.76,142,
