Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
9/01/2017,vs Wis.-La Crosse,L,4,28,18,136,0.074,27,8,8,8,63,1,3,0,2.5,1,38.5
9/02/2017,vs Northland,W,3,35,14,119,0.176,31,6,6,1,54,3,6,1,6.0,0,47.0
9/02/2017,vs Wis.-Whitewater,L,3,14,12,77,0.026,13,6,6,10,36,4,2,2,5.0,2,25.0
9/08/2017,vs Crown,W,5,71,16,162,0.34,66,11,12,8,69,1,4,0,3.0,0,85.0
9/08/2017,at North Central (MN),W,3,36,11,92,0.272,34,8,7,4,49,2,4,0,4.0,0,48.0
9/09/2017,vs Faith Baptist,W,3,40,15,83,0.301,39,12,10,4,33,2,12,0,8.0,0,60.0
9/12/2017,at Buena Vista Univ.,L,4,42,20,153,0.144,40,5,9,7,71,2,4,0,4.0,0,51.0
9/15/2017,vs Robert Morris,W,3,29,5,62,0.387,26,18,3,3,28,1,2,0,2.0,1,49.0
9/15/2017,vs Principia,W,3,44,13,162,0.191,42,8,8,6,94,5,4,0,7.0,0,59.0
9/16/2017,vs Lincoln Christian,W,3,39,6,126,0.262,38,5,8,7,67,4,8,0,8.0,0,52.0
9/23/2017,vs Grace Bible,W,3,40,22,125,0.144,32,4,11,4,55,3,6,0,6.0,0,50.0
9/23/2017,at Emmaus,W,3,44,17,124,0.218,40,8,7,4,50,4,6,0,7.0,0,59.0
9/27/2017,Cornell College,L,3,29,15,129,0.109,25,2,2,3,61,1,4,0,3.0,3,34.0
9/30/2017,at Ripon College,L,5,57,25,190,0.168,56,7,12,13,114,3,10,0,8.0,2,72.0
10/03/2017,Knox College,W,3,45,16,129,0.225,42,11,6,5,76,3,0,0,3.0,0,59.0
10/06/2017,Beloit College,L,5,62,36,210,0.124,56,13,13,7,102,8,0,0,8.0,1,83.0
10/07/2017,Lake Forest College,W,3,29,11,89,0.202,27,11,6,6,47,2,4,0,4.0,2,44.0
10/10/2017,Univ. of Dubuque,L,3,29,11,112,0.161,26,3,9,8,46,2,6,1,5.0,1,37.0
10/12/2017,at Faith Bapt. Bible,W,3,44,17,96,0.281,43,9,12,3,49,0,4,4,2.0,1,55.0
10/14/2017,at Illinois College,W,5,67,22,188,0.239,65,6,7,6,90,1,10,0,6.0,2,79.0
10/20/2017,at Lawrence University,W,4,46,19,129,0.209,45,12,11,8,59,1,2,0,2.0,0,60.0
10/21/2017,at St. Norbert College,L,4,38,18,129,0.155,36,4,8,6,53,3,6,0,6.0,2,48.0
10/28/2017,at Monmouth College,W,4,51,22,159,0.182,47,8,6,11,86,0,4,0,2.0,0,61.0
11/03/2017,at Cornell College,L,5,52,23,161,0.18,46,4,12,9,69,2,14,0,9.0,3,65.0
,Grinnell College,,87,1011,404,3142,0.193,942,189,199,151,1521,58,125,8,120.5,21,1320.5
,Opponents,,87,916,463,3121,0.145,844,153,142,186,1585,66,147,35,139.5,38,1208.5
