Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Jacobs, Tommy",SR-4,23.16,2022 Kip Janvrin Open,"Apr 28, 2022",1.0
,"Fuller, Andrew",SO-2,23.67,Cornell College Invitational,"Apr 2, 2022",0.5
,"Gilbert, Aiden",JR-3,23.71,Cornell College Invitational,"Apr 2, 2022",0.5
,"Walcher, Kyler",JR-3,23.9,Mustang Open,"Apr 9, 2022",0.8
,"James, Xavier",FR-1,24.55,Emory Thrills in the Hills Open,"Mar 25, 2022",1.4
