Name,GP,Pts,Pts/G
"#13 Hirsh, Alissa",23,425,18.5
"#42 Morrissey, Kayla",23,273,11.9
"#10 Gatton, Sophia",23,204,8.9
"#11 Neckopulos, Alex",23,132,5.7
"#22 Greenberg, Leah",23,127,5.5
"#20 Stariha, Lydia",23,111,4.8
"#23 Boldt, Anne",16,83,5.2
"#21 Norton, Kaitlyn",23,64,2.8
"#24 Plemmons, Alex",17,30,1.8
"#15 Keller, Ariel",23,24,1.0
"#12 Lopez, Haley",22,17,0.8
