Name,GP,MIN,MIN/G
"#13 Hirsh, Alissa",23,850,37.0
"#42 Morrissey, Kayla",23,669,29.1
"#10 Gatton, Sophia",23,661,28.7
"#11 Neckopulos, Alex",23,618,26.9
"#20 Stariha, Lydia",23,566,24.6
"#23 Boldt, Anne",16,270,16.9
"#22 Greenberg, Leah",23,233,10.1
"#15 Keller, Ariel",23,206,9.0
"#21 Norton, Kaitlyn",23,197,8.6
"#12 Lopez, Haley",22,186,8.5
"#24 Plemmons, Alex",17,163,9.6
"#32 Matosky, Jordan",5,14,2.8
"#44 Schellinger, Jordan",4,10,2.5
"#14 El Mahassni, Haley",4,7,1.8
