Name,GP,STL,STL/G
"#13 Hirsh, Alissa",23,57,2.5
"#11 Neckopulos, Alex",23,21,0.9
"#10 Gatton, Sophia",23,19,0.8
"#42 Morrissey, Kayla",23,15,0.7
"#23 Boldt, Anne",16,11,0.7
"#21 Norton, Kaitlyn",23,10,0.4
"#15 Keller, Ariel",23,7,0.3
"#24 Plemmons, Alex",17,7,0.4
"#20 Stariha, Lydia",23,7,0.3
"#22 Greenberg, Leah",23,5,0.2
"#12 Lopez, Haley",22,5,0.2
"#32 Matosky, Jordan",5,1,0.2
