Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#11 Neckopulos, Alex",23,257,11.2,98,4.3,159,6.9
"#13 Hirsh, Alissa",23,122,5.3,12,0.5,110,4.8
"#42 Morrissey, Kayla",23,121,5.3,37,1.6,84,3.7
#TM Team,20,93,4.7,35,1.8,58,2.9
"#20 Stariha, Lydia",23,70,3.0,26,1.1,44,1.9
"#15 Keller, Ariel",23,45,2.0,11,0.5,34,1.5
"#24 Plemmons, Alex",17,43,2.5,19,1.1,24,1.4
"#23 Boldt, Anne",16,35,2.2,9,0.6,26,1.6
"#10 Gatton, Sophia",23,34,1.5,13,0.6,21,0.9
"#12 Lopez, Haley",22,28,1.3,7,0.3,21,1.0
"#22 Greenberg, Leah",23,22,1.0,5,0.2,17,0.7
"#21 Norton, Kaitlyn",23,22,1.0,7,0.3,15,0.7
"#32 Matosky, Jordan",5,5,1.0,0,0.0,5,1.0
"#44 Schellinger, Jordan",4,3,0.8,2,0.5,1,0.3
