Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#13 Hirsh, Alissa",23,166,342,0.485,7.2,14.9
"#42 Morrissey, Kayla",23,106,252,0.421,4.6,11.0
"#10 Gatton, Sophia",23,76,222,0.342,3.3,9.7
"#11 Neckopulos, Alex",23,46,124,0.371,2.0,5.4
"#20 Stariha, Lydia",23,43,120,0.358,1.9,5.2
"#22 Greenberg, Leah",23,42,120,0.35,1.8,5.2
"#23 Boldt, Anne",16,26,94,0.277,1.6,5.9
"#21 Norton, Kaitlyn",23,23,67,0.343,1.0,2.9
"#24 Plemmons, Alex",17,11,25,0.44,0.6,1.5
"#15 Keller, Ariel",23,8,19,0.421,0.3,0.8
"#12 Lopez, Haley",22,6,28,0.214,0.3,1.3
"#14 El Mahassni, Haley",4,0,3,0.0,0.0,0.8
