Name,GP,TO,TO/G
"#13 Hirsh, Alissa",23,79,3.4
"#10 Gatton, Sophia",23,51,2.2
"#42 Morrissey, Kayla",23,41,1.8
"#11 Neckopulos, Alex",23,40,1.7
"#23 Boldt, Anne",16,33,2.1
"#20 Stariha, Lydia",23,30,1.3
"#21 Norton, Kaitlyn",23,23,1.0
"#22 Greenberg, Leah",23,22,1.0
"#15 Keller, Ariel",23,13,0.6
"#12 Lopez, Haley",22,9,0.4
"#24 Plemmons, Alex",17,6,0.4
#TM Team,20,5,0.3
"#32 Matosky, Jordan",5,1,0.2
"#44 Schellinger, Jordan",4,1,0.3
