Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#22 Greenberg, Leah",23,38,106,0.358,1.7,4.6
"#10 Gatton, Sophia",23,27,96,0.281,1.2,4.2
"#13 Hirsh, Alissa",23,21,50,0.42,0.9,2.2
"#42 Morrissey, Kayla",23,18,57,0.316,0.8,2.5
"#21 Norton, Kaitlyn",23,12,34,0.353,0.5,1.5
"#23 Boldt, Anne",16,8,43,0.186,0.5,2.7
"#20 Stariha, Lydia",23,7,47,0.149,0.3,2.0
"#15 Keller, Ariel",23,1,5,0.2,0.0,0.2
"#12 Lopez, Haley",22,1,10,0.1,0.0,0.5
