Statistic,High,Opponent
POINTS,91,Knox College (01/13/15)
FIELD GOALS MADE,38,Knox College (01/13/15)
FIELD GOAL ATTEMPTS,82,Beloit College (11/22/14); Knox College (01/13/15)
3 PT FIELD GOALS MADE,10,Cornell College (12/03/14)
3 PT FG ATTEMPTS,33,Monmouth College (02/04/15)
FREE THROWS MADE,22,Mount Mary (01/06/15)
FREE THROW ATTEMPTS,27,Monmouth (IL) (11/25/14); Knox College (01/13/15)
REBOUNDS,66,Knox College (01/13/15)
ASSISTS,22,Knox (02/18/15)
STEALS,13,Beloit (01/24/15); Mount Mary (01/06/15); Knox College (01/13/15)
BLOCKED SHOTS,6,Knox (02/18/15)
TURNOVERS,33,Knox College (01/13/15)
FOULS,30,Beloit College (11/22/14)
