Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#13 Hirsh, Alissa",23,72,111,0.649,3.1,4.8
"#42 Morrissey, Kayla",23,43,64,0.672,1.9,2.8
"#11 Neckopulos, Alex",23,40,60,0.667,1.7,2.6
"#10 Gatton, Sophia",23,25,41,0.61,1.1,1.8
"#23 Boldt, Anne",16,23,33,0.697,1.4,2.1
"#20 Stariha, Lydia",23,18,40,0.45,0.8,1.7
"#24 Plemmons, Alex",17,8,11,0.727,0.5,0.6
"#15 Keller, Ariel",23,7,14,0.5,0.3,0.6
"#21 Norton, Kaitlyn",23,6,9,0.667,0.3,0.4
"#22 Greenberg, Leah",23,5,6,0.833,0.2,0.3
"#12 Lopez, Haley",22,4,6,0.667,0.2,0.3
