Name,GP,PF,PF/G
"#11 Neckopulos, Alex",23,56,2.4
"#15 Keller, Ariel",23,52,2.3
"#10 Gatton, Sophia",23,48,2.1
"#13 Hirsh, Alissa",23,48,2.1
"#20 Stariha, Lydia",23,45,2.0
"#42 Morrissey, Kayla",23,37,1.6
"#23 Boldt, Anne",16,33,2.1
"#22 Greenberg, Leah",23,26,1.1
"#21 Norton, Kaitlyn",23,25,1.1
"#24 Plemmons, Alex",17,23,1.4
"#12 Lopez, Haley",22,17,0.8
"#32 Matosky, Jordan",5,2,0.4
"#44 Schellinger, Jordan",4,2,0.5
"#14 El Mahassni, Haley",4,1,0.3
