#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
13.0,"Hirsh, Alissa 13 Hirsh, Alissa",23,37.0,0.485,0.42,0.649,0.5,4.8,5.3,4.1,2.5,0.2,18.5
42.0,"Morrissey, Kayla 42 Morrissey, Kayla",23,29.1,0.421,0.316,0.672,1.6,3.7,5.3,1.7,0.7,0.5,11.9
10.0,"Gatton, Sophia 10 Gatton, Sophia",23,28.7,0.342,0.281,0.61,0.6,0.9,1.5,1.7,0.8,0.2,8.9
11.0,"Neckopulos, Alex 11 Neckopulos, Alex",23,26.9,0.371,0.0,0.667,4.3,6.9,11.2,0.7,0.9,0.5,5.7
23.0,"Boldt, Anne 23 Boldt, Anne",16,16.9,0.277,0.186,0.697,0.6,1.6,2.2,0.5,0.7,0.3,5.2
22.0,"Greenberg, Leah 22 Greenberg, Leah",23,10.1,0.35,0.358,0.833,0.2,0.7,1.0,0.3,0.2,0.0,5.5
20.0,"Stariha, Lydia 20 Stariha, Lydia",23,24.6,0.358,0.149,0.45,1.1,1.9,3.0,1.4,0.3,0.0,4.8
21.0,"Norton, Kaitlyn 21 Norton, Kaitlyn",23,8.6,0.343,0.353,0.667,0.3,0.7,1.0,0.2,0.4,0.2,2.8
24.0,"Plemmons, Alex 24 Plemmons, Alex",17,9.6,0.44,0.0,0.727,1.1,1.4,2.5,0.3,0.4,0.4,1.8
15.0,"Keller, Ariel 15 Keller, Ariel",23,9.0,0.421,0.2,0.5,0.5,1.5,2.0,0.4,0.3,0.1,1.0
12.0,"Lopez, Haley 12 Lopez, Haley",22,8.5,0.214,0.1,0.667,0.3,1.0,1.3,0.4,0.2,0.1,0.8
14.0,"El Mahassni, Haley 14 El Mahassni, Haley",4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,"Matosky, Jordan 32 Matosky, Jordan",5,2.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0
44.0,"Schellinger, Jordan 44 Schellinger, Jordan",4,2.5,0.0,0.0,0.0,0.5,0.3,0.8,0.0,0.0,0.0,0.0
,Total,23,202.2,0.391,0.297,0.635,12.2,26.9,39.1,11.4,7.2,2.3,64.78
,Opponents,23,202.1,0.386,0.287,0.735,13.3,28.6,41.9,14.0,7.0,3.2,67.04
