Name,GP,AST,AST/G
"#13 Hirsh, Alissa",23,94,4.1
"#10 Gatton, Sophia",23,39,1.7
"#42 Morrissey, Kayla",23,38,1.7
"#20 Stariha, Lydia",23,32,1.4
"#11 Neckopulos, Alex",23,15,0.7
"#15 Keller, Ariel",23,10,0.4
"#12 Lopez, Haley",22,9,0.4
"#23 Boldt, Anne",16,8,0.5
"#22 Greenberg, Leah",23,7,0.3
"#21 Norton, Kaitlyn",23,5,0.2
"#24 Plemmons, Alex",17,5,0.3
