Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
vs Central College,11/15/14,50-52,L,17-54,0.315,4-22,0.182,12-17,0.706,12,21,33,33.0,16,10,11,0,4,50,50.0
at Wartburg College,11/18/14,55-90,L,16-55,0.291,7-22,0.318,16-25,0.64,5,18,23,28.0,23,5,15,1,6,55,52.5
at Beloit College,11/22/14,74-76,L (OT),30-82,0.366,5-25,0.2,9-16,0.563,18,26,44,33.3,30,8,15,4,7,74,59.7
vs Monmouth (IL),11/25/14,89-80,W,33-63,0.524,7-20,0.35,16-27,0.593,12,34,46,36.5,17,16,9,1,5,89,67.0
vs Lake Forest,11/29/14,64-62,W,21-59,0.356,8-20,0.4,14-23,0.609,15,27,42,37.6,12,16,12,1,6,64,66.4
vs Presentation,11/30/14,59-68,L,23-67,0.343,8-31,0.258,5-6,0.833,12,26,38,37.7,22,11,13,2,8,59,65.2
vs Cornell College,12/03/14,72-80,L,25-72,0.347,10-31,0.323,12-20,0.6,19,23,42,38.3,15,14,6,0,6,72,66.1
at St. Norbert College,12/06/14,38-58,L,14-51,0.275,3-16,0.188,7-10,0.7,9,29,38,38.3,11,6,22,0,2,38,62.6
at AIB College of Business,12/08/14,77-64,W,29-65,0.446,6-13,0.462,13-23,0.565,15,31,46,39.1,21,9,17,5,6,77,64.2
vs Lawrence,01/03/15,63-48,W,21-57,0.368,9-23,0.391,12-18,0.667,14,24,38,39.0,13,14,12,4,9,63,64.1
at Mount Mary,01/06/15,86-48,W,29-66,0.439,6-20,0.3,22-25,0.88,14,22,36,38.7,20,15,9,3,13,86,66.1
vs Ripon,01/10/15,59-46,W,20-49,0.408,7-16,0.438,12-14,0.857,11,24,35,38.4,14,9,15,2,6,59,65.5
at Knox College,01/13/15,91-97,L,38-82,0.463,1-6,0.167,14-27,0.519,18,48,66,40.5,27,14,33,3,13,91,67.5
at Carroll University,01/17/15,49-75,L,18-44,0.409,4-14,0.286,9-17,0.529,10,22,32,39.9,19,8,32,2,8,49,66.1
at Cornell College,01/21/15,69-72,L,26-62,0.419,6-21,0.286,11-15,0.733,10,23,33,39.5,15,12,8,2,3,69,66.3
vs Beloit,01/24/15,61-55,W,26-66,0.394,2-15,0.133,7-14,0.5,15,28,43,39.7,18,10,18,4,13,61,66.0
vs Illinois College,01/27/15,47-72,L,19-53,0.358,4-19,0.211,5-8,0.625,5,21,26,38.9,20,9,10,1,7,47,64.9
at Ripon College,01/31/15,53-49,W,19-56,0.339,4-18,0.222,11-21,0.524,18,28,46,39.3,18,8,14,4,8,53,64.2
at Monmouth College,02/04/15,76-85,L (OT),31-76,0.408,9-33,0.273,5-11,0.455,13,29,42,39.4,23,14,15,0,9,76,64.8
vs Carroll University,02/07/15,66-62,W,22-51,0.431,6-14,0.429,16-26,0.615,10,29,39,39.4,16,14,17,4,5,66,64.9
at Lake Forest College,02/14/15,59-60,L,22-58,0.379,8-24,0.333,7-10,0.7,9,29,38,39.3,17,9,13,2,9,59,64.6
vs Knox,02/18/15,76-90,L,34-73,0.466,1-7,0.143,7-10,0.7,14,33,47,39.7,16,22,22,6,5,76,65.1
at Illinois College,02/21/15,57-53,W,20-55,0.364,8-18,0.444,9-12,0.75,13,28,41,39.7,12,9,19,2,7,57,64.8
Grinnell College,,-,,553-1416,0.391,133-448,0.297,251-395,0.635,291,623,914,39.7,415,262,357,53,165,1490,64.8
Opponents,,-,,543-1406,0.386,110-383,0.287,346-471,0.735,306,658,964,41.9,386,321,350,73,162,1542,67.0
