#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
13,"Hirsh, Alissa 13 Hirsh, Alissa",23,23.0,850,37.0,166,342,0.485,21,50,0.42,72,111,0.649,425,18.5,12,110,122,5.3,48,94,79,57,5,View Bio
42,"Morrissey, Kayla 42 Morrissey, Kayla",23,23.0,669,29.1,106,252,0.421,18,57,0.316,43,64,0.672,273,11.9,37,84,121,5.3,37,38,41,15,12,View Bio
10,"Gatton, Sophia 10 Gatton, Sophia",23,23.0,661,28.7,76,222,0.342,27,96,0.281,25,41,0.61,204,8.9,13,21,34,1.5,48,39,51,19,4,View Bio
11,"Neckopulos, Alex 11 Neckopulos, Alex",23,22.0,618,26.9,46,124,0.371,0,0,0.0,40,60,0.667,132,5.7,98,159,257,11.2,56,15,40,21,11,View Bio
22,"Greenberg, Leah 22 Greenberg, Leah",23,0.0,233,10.1,42,120,0.35,38,106,0.358,5,6,0.833,127,5.5,5,17,22,1.0,26,7,22,5,0,View Bio
23,"Boldt, Anne 23 Boldt, Anne",16,0.0,270,16.9,26,94,0.277,8,43,0.186,23,33,0.697,83,5.2,9,26,35,2.2,33,8,33,11,4,View Bio
20,"Stariha, Lydia 20 Stariha, Lydia",23,23.0,566,24.6,43,120,0.358,7,47,0.149,18,40,0.45,111,4.8,26,44,70,3.0,45,32,30,7,0,View Bio
21,"Norton, Kaitlyn 21 Norton, Kaitlyn",23,0.0,197,8.6,23,67,0.343,12,34,0.353,6,9,0.667,64,2.8,7,15,22,1.0,25,5,23,10,5,View Bio
24,"Plemmons, Alex 24 Plemmons, Alex",17,1.0,163,9.6,11,25,0.44,0,0,0.0,8,11,0.727,30,1.8,19,24,43,2.5,23,5,6,7,7,View Bio
15,"Keller, Ariel 15 Keller, Ariel",23,0.0,206,9.0,8,19,0.421,1,5,0.2,7,14,0.5,24,1.0,11,34,45,2.0,52,10,13,7,3,View Bio
12,"Lopez, Haley 12 Lopez, Haley",22,0.0,186,8.5,6,28,0.214,1,10,0.1,4,6,0.667,17,0.8,7,21,28,1.3,17,9,9,5,2,View Bio
14,"El Mahassni, Haley 14 El Mahassni, Haley",4,0.0,7,1.8,0,3,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0,0,View Bio
32,"Matosky, Jordan 32 Matosky, Jordan",5,0.0,14,2.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,5,5,1.0,2,0,1,1,0,View Bio
44,"Schellinger, Jordan 44 Schellinger, Jordan",4,0.0,10,2.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,2,1,3,0.8,2,0,1,0,0,View Bio
TM,Team  TM Team,20,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,35,58,93,4.7,0,0,5,0,0,
,Total,23,,4650,202.2,553,1416,0.391,133,448,0.297,251,395,0.635,1490,64.78,281,619,900,39.1,415,262,354,165,53,
,Opponents,23,,4649,202.1,543,1406,0.386,110,383,0.287,346,471,0.735,1542,67.04,306,658,964,41.9,386,321,350,162,73,
