Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Central College,11/15/14,50-52,-2,17-54/15-46,.315/.326,4-22/4-16,.182/.250,12-17/18-21,.706-.857,33/40 -7,10/7,11/16,0/1,4/6,16/16
Wartburg College,11/18/14,55-90,-35,16-55/29-52,.291/.558,7-22/6-12,.318/.500,16-25/26-31,.640-.839,23/43 -20,5/18,15/13,1/1,6/8,23/23
Beloit College,11/22/14,74-76,-2,30-82/26-64,.366/.406,5-25/1-9,.200/.111,9-16/23-36,.563-.639,44/56 -12,8/12,15/25,4/1,7/1,30/18
Monmouth (IL),11/25/14,89-80,9,33-63/30-67,.524/.448,7-20/8-16,.350/.500,16-27/12-20,.593-.600,46/32 14,16/16,9/7,1/4,5/5,17/21
Lake Forest,11/29/14,64-62,2,21-59/26-58,.356/.448,8-20/4-9,.400/.444,14-23/6-10,.609-.600,42/34 8,16/20,12/12,1/4,6/4,12/19
Presentation,11/30/14,59-68,-9,23-67/21-53,.343/.396,8-31/7-21,.258/.333,5-6/19-24,.833-.792,38/43 -5,11/16,13/15,2/2,8/3,22/11
Cornell College,12/03/14,72-80,-8,25-72/29-61,.347/.475,10-31/9-19,.323/.474,12-20/13-18,.600-.722,42/47 -5,14/23,6/12,0/9,6/4,15/16
St. Norbert College,12/06/14,38-58,-20,14-51/24-57,.275/.421,3-16/2-12,.188/.167,7-10/8-10,.700-.800,38/36 2,6/15,22/13,0/6,2/10,11/16
AIB College of Business,12/08/14,77-64,13,29-65/20-67,.446/.299,6-13/2-14,.462/.143,13-23/22-25,.565-.880,46/46 0,9/9,17/18,5/2,6/5,21/21
Lawrence,01/03/15,63-48,15,21-57/20-53,.368/.377,9-23/1-7,.391/.143,12-18/7-11,.667-.636,38/36 2,14/11,12/17,4/1,9/5,13/16
Mount Mary,01/06/15,86-48,38,29-66/17-43,.439/.395,6-20/1-5,.300/.200,22-25/13-19,.880-.684,36/32 4,15/11,9/24,3/3,13/1,20/20
Ripon,01/10/15,59-46,13,20-49/16-56,.408/.286,7-16/3-9,.438/.333,12-14/11-12,.857-.917,35/37 -2,9/11,15/14,2/3,6/9,14/14
Knox College,01/13/15,91-97,-6,38-82/32-106,.463/.302,1-6/11-40,.167/.275,14-27/22-34,.519-.647,66/64 2,14/13,33/20,3/7,13/20,27/25
Carroll University,01/17/15,49-75,-26,18-44/30-73,.409/.411,4-14/2-10,.286/.200,9-17/13-17,.529-.765,32/44 -12,8/18,32/18,2/0,8/15,19/15
Cornell College,01/21/15,69-72,-3,26-62/24-61,.419/.393,6-21/5-24,.286/.208,11-15/19-20,.733-.950,33/42 -9,12/17,8/11,2/4,3/3,15/14
Beloit,01/24/15,61-55,6,26-66/22-65,.394/.338,2-15/4-17,.133/.235,7-14/7-10,.500-.700,43/47 -4,10/14,18/22,4/3,13/7,18/18
Illinois College,01/27/15,47-72,-25,19-53/24-59,.358/.407,4-19/6-19,.211/.316,5-8/18-26,.625-.692,26/49 -23,9/12,10/11,1/3,7/3,20/11
Ripon College,01/31/15,53-49,4,19-56/19-52,.339/.365,4-18/2-16,.222/.125,11-21/9-12,.524-.750,46/31 15,8/10,14/12,4/5,8/9,18/18
Monmouth College,02/04/15,76-85,-9,31-76/27-58,.408/.466,9-33/5-15,.273/.333,5-11/26-31,.455-.839,42/43 -1,14/14,15/16,0/2,9/6,23/14
Carroll University,02/07/15,66-62,4,22-51/24-60,.431/.400,6-14/4-14,.429/.286,16-26/10-19,.615-.526,39/36 3,14/18,17/12,4/6,5/10,16/21
Lake Forest College,02/14/15,59-60,-1,22-58/18-63,.379/.286,8-24/6-24,.333/.250,7-10/18-29,.700-.621,38/48 -10,9/13,13/10,2/1,9/8,17/9
Knox,02/18/15,76-90,-14,34-73/31-80,.466/.388,1-7/12-34,.143/.353,7-10/16-24,.700-.667,47/48 -1,22/16,22/15,6/1,5/15,16/16
Illinois College,02/21/15,57-53,4,20-55/19-52,.364/.365,8-18/5-21,.444/.238,9-12/10-12,.750-.833,41/30 11,9/7,19/17,2/4,7/5,12/14
