Name,GP,BLK,BLK/G
"#42 Morrissey, Kayla",23,12,0.5
"#11 Neckopulos, Alex",23,11,0.5
"#24 Plemmons, Alex",17,7,0.4
"#13 Hirsh, Alissa",23,5,0.2
"#21 Norton, Kaitlyn",23,5,0.2
"#23 Boldt, Anne",16,4,0.3
"#10 Gatton, Sophia",23,4,0.2
"#15 Keller, Ariel",23,3,0.1
"#12 Lopez, Haley",22,2,0.1
