Statistic,Grinnell College,Opponents OPP
Scoring,Scoring,Scoring
Total Points TOT,1490,1542
Points Per Game PPG,64.8,67.0
Scoring Margin Margin,-2.3,--
Shooting,Shooting,Shooting
FG: Made-Attempted FGM-FGA,553-1416,543-1406
FG: Percentage FG%,.391,.386
FG: Per Game FGM/G,24.0,23.6
3PT: Made-Attempted 3PT-3PA,133-448,110-383
3PT: Percentage 3PT%,.297,.287
3PT: Per Game 3PT/G,5.8,4.8
FT: Made-Attempted FTM-FTA,251-395,346-471
FT: Percentage FT%,.635,.735
FT: Per Game FT/G,10.9,15.0
Rebounding,Rebounding,Rebounding
Total TOT,914,964
Per Game RPG,39.7,41.9
Margin,-2.2,--
Assists,Assists,Assists
Total TOT,262,321
Per Game APG,11.4,14.0
Turnovers,Turnovers,Turnovers
Total TOT,357,350
Per Game TO/G,15.5,15.2
Margin,-0.3,--
Assist/Turnover Ratio A/TO,0.7,0.9
Points Off Turnovers PTS OFF TO,14.9,14.1
Steals,Steals,Steals
Total TOT,165,162
Per Game STL/G,7.2,7.0
Blocks,Blocks,Blocks
Total TOT,53,73
Per Game BLK/G,2.3,3.2
Attendance,Attendance,Attendance
Total TOT,5337,4057
Per Game AVG,11-485,12-338
