#,Player,SP,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
1.0,"Kuhn, Kaylin 1Kuhn, Kaylin",28,91,3.25,3,64,0.953,0.11,1,6,7.0,0.25,0,0,View Bio
3.0,"Miles, Malaina 3Miles, Malaina",16,9,0.56,1,1,0.0,0.06,1,6,7.0,0.44,1,0,View Bio
4.0,"Woock, Rachel 4Woock, Rachel",27,73,2.7,5,82,0.939,0.19,0,2,2.0,0.07,0,0,View Bio
5.0,"Vajda, Julianna 5Vajda, Julianna",11,4,0.36,1,3,0.667,0.09,0,1,1.0,0.09,1,0,View Bio
6.0,"Richardson, Avery 6Richardson, Avery",2,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
7.0,"Killin, Anna 7Killin, Anna",15,5,0.33,0,0,0.0,0.0,3,6,9.0,0.6,0,0,View Bio
9.0,"Nyquist, Emmy 9Nyquist, Emmy",28,18,0.64,0,2,1.0,0.0,0,0,0.0,0.0,0,0,View Bio
10.0,"Roth, Julianna 10Roth, Julianna",19,45,2.37,0,0,0.0,0.0,0,1,1.0,0.05,1,1,View Bio
11.0,"Jensen, Olivia 11Jensen, Olivia",25,9,0.36,0,1,1.0,0.0,0,10,10.0,0.4,0,0,View Bio
13.0,"Keller, Jenna 13Keller, Jenna",27,36,1.33,6,84,0.929,0.22,0,8,8.0,0.3,2,2,View Bio
14.0,"Brewer, Emily 14Brewer, Emily",16,34,2.13,0,1,1.0,0.0,1,4,5.0,0.31,0,4,View Bio
15.0,"Weber, Sophie 15Weber, Sophie",20,47,2.35,6,54,0.889,0.3,0,0,0.0,0.0,0,0,View Bio
21.0,"O'Neill, Ella 21O'Neill, Ella",3,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
33.0,"Lowrey, Payton 33Lowrey, Payton",27,115,4.26,9,129,0.93,0.33,0,0,0.0,0.0,0,0,View Bio
,Total,28,486,17.36,41,421,0.903,1.46,6,44,28.0,1.0,5,7,
,Opponents,28,415,14.82,66,496,0.867,2.36,3,68,37.0,1.32,4,22,
