Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
9/01/2021,at Simpson,W,5,47,29,160,0.113,46,14,17,4,73,1,6,2,4.0,0,65.0
9/03/2021,Dominican (IL),W,3,39,12,93,0.29,36,8,7,3,45,2,4,1,4.0,0,51.0
9/03/2021,Millikin,L,3,35,19,115,0.139,25,4,10,5,43,1,0,0,1.0,2,40.0
9/03/2021,Wis.-Stout,L,3,29,17,90,0.133,25,2,9,5,24,4,2,0,5.0,0,36.0
9/04/2021,Wis.-Superior,W,3,43,17,103,0.252,34,9,8,4,49,2,4,0,4.0,2,56.0
9/04/2021,Minn.-Morris,W,3,37,9,108,0.259,28,8,6,7,40,0,0,0,0.0,0,45.0
9/07/2021,Wartburg,L,4,46,24,164,0.134,41,10,13,3,90,2,8,1,6.0,6,62.0
9/08/2021,Carleton,W,3,38,9,90,0.322,37,12,7,3,57,2,2,2,3.0,1,53.0
9/10/2021,Loras,L,3,28,20,130,0.062,25,5,6,3,69,3,2,1,4.0,1,37.0
9/10/2021,Augustana (IL),W,3,46,18,120,0.233,44,7,5,5,55,2,4,0,4.0,2,57.0
9/11/2021,vs UW-River Falls,W,3,43,12,103,0.301,40,5,15,2,55,0,2,1,1.0,3,49.0
9/11/2021,at Gustavus Adolphus,L,3,32,19,101,0.129,32,2,6,10,48,0,2,1,1.0,0,35.0
9/14/2021,at Central (IA),L,5,55,25,157,0.191,48,6,16,13,70,0,4,0,2.0,0,63.0
9/17/2021,vs St. Scholastica,W,4,57,16,176,0.233,52,6,11,7,86,1,8,1,5.0,1,68.0
9/17/2021,vs Carthage,L,4,64,25,180,0.217,58,5,6,9,86,3,2,1,4.0,0,73.0
9/18/2021,at Dubuque,L,5,64,24,176,0.227,61,13,11,8,75,1,2,0,2.0,1,79.0
9/18/2021,vs Westminster (MO),W,5,51,20,165,0.188,44,13,10,11,81,0,4,2,2.0,2,66.0
9/24/2021,Monmouth (IL),W,4,64,26,168,0.226,60,8,14,4,76,1,0,0,1.0,2,73.0
9/25/2021,Illinois Col.,W,3,49,11,124,0.306,41,7,8,7,54,0,4,0,2.0,1,58.0
10/01/2021,at Beloit,W,4,61,27,149,0.228,58,15,7,8,68,3,4,2,5.0,0,81.0
10/02/2021,at Wis.-Whitewater,L,3,33,17,84,0.19,32,4,12,5,41,0,4,1,2.0,1,39.0
10/08/2021,at Lawrence,W,3,39,10,93,0.312,35,5,11,1,43,0,8,0,4.0,2,48.0
10/09/2021,at Ripon College,W,4,58,23,175,0.2,53,6,14,8,89,0,6,2,3.0,1,67.0
10/13/2021,Buena Vista,W,4,68,34,192,0.177,62,7,8,5,103,2,4,0,4.0,3,79.0
10/16/2021,at Knox,W,3,46,12,98,0.347,46,12,7,6,48,1,4,0,3.0,0,61.0
10/16/2021,vs Central,L,3,13,4,44,0.205,11,7,1,0,22,0,6,0,3.0,0,23.0
10/22/2021,at Wis.-Platteville,W,5,53,33,200,0.1,49,9,10,14,103,1,14,2,8.0,0,70.0
10/23/2021,at Chicago,L,4,53,26,152,0.178,50,5,13,6,67,3,10,2,8.0,1,66.0
10/23/2021,vs Elmhurst,L,4,32,23,149,0.06,29,5,5,13,85,2,0,4,2.0,0,39.0
10/27/2021,Cornell College,L,4,50,24,140,0.186,39,5,11,4,60,0,8,0,4.0,1,59.0
10/30/2021,Lake Forest,W,3,45,12,95,0.347,40,8,6,3,48,1,10,1,6.0,0,59.0
10/30/2021,Luther,W,5,64,17,178,0.264,48,6,10,8,85,1,8,0,5.0,2,75.0
11/05/2021,vs Illinois Col.,W,5,68,29,185,0.211,58,6,14,3,84,2,16,1,10.0,3,84.0
11/06/2021,at Cornell College,L,4,28,15,110,0.118,25,6,7,7,49,2,8,1,6.0,3,40.0
,Grinnell College,,127,1578,658,4567,0.201,1412,250,321,204,2171,43,170,29,128.0,41,1956.0
,Opponents,,127,1316,596,4395,0.164,1147,207,196,247,1982,48,346,29,221.0,56,1744.0
