#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,SET,SET,SERVE,SERVE,SERVE,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
1.0,"Kuhn, Kaylin 1Kuhn, Kaylin",111,31,28.0,553.5,4.99,479,4.32,189,1216,0.238,15,0.14,56,0.5,60,View Bio
3.0,"Miles, Malaina 3Miles, Malaina",90,28,20.0,156.0,1.73,136,1.51,43,415,0.224,8,0.09,0,0.0,0,View Bio
4.0,"Woock, Rachel 4Woock, Rachel",124,34,27.0,271.5,2.19,243,1.96,155,797,0.11,18,0.15,22,0.18,45,View Bio
5.0,"Vajda, Julianna 5Vajda, Julianna",67,22,2.0,47.0,0.7,28,0.42,16,125,0.096,0,0.0,15,0.22,11,View Bio
6.0,"Richardson, Avery 6Richardson, Avery",11,8,1.0,8.0,0.73,8,0.73,7,37,0.027,0,0.0,0,0.0,0,View Bio
7.0,"Killin, Anna 7Killin, Anna",47,16,10.0,112.0,2.38,88,1.87,30,204,0.284,1,0.02,0,0.0,0,View Bio
8.0,"Welch, Julia 8Welch, Julia",1,1,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,View Bio
9.0,"Nyquist, Emmy 9Nyquist, Emmy",124,34,2.0,24.0,0.19,1,0.01,0,14,0.071,11,0.09,23,0.19,27,View Bio
10.0,"Roth, Julianna 10Roth, Julianna",78,27,14.0,32.0,0.41,11,0.14,5,105,0.057,506,6.49,20,0.26,18,View Bio
11.0,"Jensen, Olivia 11Jensen, Olivia",114,34,28.0,283.5,2.49,253,2.22,42,566,0.373,9,0.08,5,0.04,4,View Bio
13.0,"Keller, Jenna 13Keller, Jenna",122,34,23.0,270.0,2.21,243,1.99,147,743,0.129,18,0.15,10,0.08,32,View Bio
14.0,"Brewer, Emily 14Brewer, Emily",97,33,16.0,115.0,1.19,72,0.74,22,248,0.202,749,7.72,34,0.35,52,View Bio
15.0,"Weber, Sophie 15Weber, Sophie",71,25,6.0,17.5,0.25,1,0.01,0,14,0.071,8,0.11,16,0.23,31,View Bio
21.0,"O'Neill, Ella 21O'Neill, Ella",16,10,2.0,13.0,0.81,11,0.69,1,27,0.37,1,0.06,0,0.0,0,View Bio
23.0,"Smith, Sophie 23Smith, Sophie",1,1,0.0,0.0,0.0,0,0.0,0,0,0.0,1,1.0,0,0.0,0,View Bio
33.0,"Lowrey, Payton 33Lowrey, Payton",118,33,1.0,53.0,0.45,4,0.03,1,56,0.054,67,0.57,49,0.42,41,View Bio
,Total,127,34,,1956.0,15.4,1578,12.43,658,4567,0.201,1412,11.12,250,1.97,321,
,Opponents,127,34,,1744.0,13.73,1316,10.36,596,4395,0.164,1147,9.03,207,1.63,196,
