Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
9/01/2021,Simpson,L,5,46,27,153,0.124,38,4,14,14,72,0,8,0,4.0,0,54.0
9/03/2021,at Dominican (IL),L,3,26,21,98,0.051,23,3,3,8,37,1,2,0,2.0,2,31.0
9/03/2021,at Millikin,W,3,36,10,112,0.232,28,5,7,4,42,3,10,0,8.0,3,49.0
9/03/2021,at Wis.-Stout,W,3,38,15,91,0.253,33,5,6,2,33,3,6,0,6.0,1,49.0
9/04/2021,at Wis.-Superior,L,3,18,14,85,0.047,11,4,2,9,34,2,8,0,6.0,2,28.0
9/04/2021,at Minn.-Morris,L,3,26,17,94,0.096,20,7,4,8,41,2,2,0,3.0,4,36.0
9/07/2021,at Wartburg,W,4,42,20,164,0.134,33,3,2,10,88,5,12,0,11.0,5,56.0
9/08/2021,at Carleton,L,3,25,17,105,0.076,25,3,7,12,34,2,4,1,4.0,0,32.0
9/10/2021,at Loras,W,3,42,12,132,0.227,36,3,7,5,73,0,10,0,5.0,1,50.0
9/10/2021,at Augustana (IL),L,3,30,16,109,0.128,26,5,7,7,46,1,12,2,7.0,0,42.0
9/11/2021,vs UW-River Falls,L,3,25,14,97,0.113,20,2,7,5,42,0,8,3,4.0,3,31.0
9/11/2021,Gustavus Adolphus,W,3,38,6,95,0.337,36,10,5,2,44,0,10,2,5.0,0,53.0
9/14/2021,Central (IA),W,5,43,13,135,0.222,40,13,11,6,69,1,14,0,8.0,0,64.0
9/17/2021,vs St. Scholastica,L,4,45,26,168,0.113,40,7,3,6,85,2,6,4,5.0,0,57.0
9/17/2021,vs Carthage,W,4,54,15,164,0.238,46,9,7,5,74,4,16,0,12.0,0,75.0
9/18/2021,Dubuque,W,5,58,17,170,0.241,55,8,3,13,72,2,10,0,7.0,0,73.0
9/18/2021,vs Westminster (MO),L,5,50,21,159,0.182,47,11,8,13,83,2,18,2,11.0,0,72.0
9/24/2021,at Monmouth (IL),L,4,33,12,135,0.156,29,4,7,8,61,0,6,0,3.0,5,40.0
9/25/2021,at Illinois Col.,L,3,25,12,108,0.12,21,7,2,7,43,0,8,0,4.0,4,36.0
10/01/2021,Beloit,L,4,37,18,128,0.148,34,8,2,15,54,0,12,1,6.0,0,51.0
10/02/2021,Wis.-Whitewater,W,3,39,22,106,0.16,36,5,6,4,32,0,14,0,7.0,0,51.0
10/08/2021,Lawrence,L,3,23,18,88,0.057,23,1,8,5,38,1,4,2,3.0,3,27.0
10/09/2021,Ripon College,L,4,41,23,161,0.112,40,8,6,6,85,0,8,0,4.0,5,53.0
10/13/2021,at Buena Vista,L,4,37,15,158,0.139,30,5,5,7,77,1,20,0,11.0,2,53.0
10/16/2021,Knox,L,3,31,11,101,0.198,31,6,6,12,37,2,6,0,5.0,0,42.0
10/16/2021,vs Central,W,3,25,3,49,0.449,0,3,4,4,34,2,2,1,3.0,0,31.0
10/22/2021,Wis.-Platteville,L,5,53,33,201,0.1,47,14,9,9,108,3,18,2,12.0,0,79.0
10/23/2021,Chicago,W,4,53,21,148,0.216,51,6,4,5,66,2,12,3,8.0,0,67.0
10/23/2021,vs Elmhurst,W,4,53,24,168,0.173,51,13,8,5,86,3,12,3,9.0,3,75.0
10/27/2021,at Cornell College,W,4,51,19,140,0.229,48,4,5,5,63,0,14,0,7.0,3,62.0
10/30/2021,at Lake Forest,L,3,20,13,86,0.081,20,3,5,8,34,0,10,1,5.0,2,28.0
10/30/2021,at Luther,L,5,47,25,185,0.119,37,8,2,6,66,2,10,0,7.0,6,62.0
11/05/2021,vs Illinois Col.,L,5,45,24,167,0.126,40,3,3,6,74,0,24,2,12.0,0,60.0
11/06/2021,Cornell College,W,4,61,22,135,0.289,52,7,11,6,55,2,10,0,7.0,2,75.0
,Opponents,,127,1316,596,4395,0.164,1147,207,196,247,1982,48,346,29,221.0,56,1744.0
,Grinnell College,,127,1578,658,4567,0.201,1412,250,321,204,2171,43,170,29,128.0,41,1956.0
