#,Unnamed: 1_level_0,Unnamed: 2_level_0,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
1.0,"Kuhn, Kaylin 1Kuhn, Kaylin",111,319,2.87,21,272,0.923,0.19,6,25,31.0,0.28,2,1,View Bio
3.0,"Miles, Malaina 3Miles, Malaina",90,49,0.54,3,3,0.0,0.03,7,26,33.0,0.37,5,3,View Bio
4.0,"Woock, Rachel 4Woock, Rachel",124,314,2.53,35,347,0.899,0.28,2,9,11.0,0.09,1,1,View Bio
5.0,"Vajda, Julianna 5Vajda, Julianna",67,30,0.45,1,10,0.9,0.01,1,6,7.0,0.1,3,0,View Bio
6.0,"Richardson, Avery 6Richardson, Avery",11,0,0.0,0,1,1.0,0.0,0,0,0.0,0.0,0,0,View Bio
7.0,"Killin, Anna 7Killin, Anna",47,17,0.36,0,1,1.0,0.0,13,22,35.0,0.74,1,1,View Bio
8.0,"Welch, Julia 8Welch, Julia",1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
9.0,"Nyquist, Emmy 9Nyquist, Emmy",124,79,0.64,1,30,0.967,0.01,0,0,0.0,0.0,0,0,View Bio
10.0,"Roth, Julianna 10Roth, Julianna",78,150,1.92,0,7,1.0,0.0,0,2,2.0,0.03,2,8,View Bio
11.0,"Jensen, Olivia 11Jensen, Olivia",114,63,0.55,0,3,1.0,0.0,8,35,43.0,0.38,2,0,View Bio
13.0,"Keller, Jenna 13Keller, Jenna",122,291,2.39,42,380,0.889,0.34,5,24,29.0,0.24,9,5,View Bio
14.0,"Brewer, Emily 14Brewer, Emily",97,178,1.84,0,2,1.0,0.0,1,16,17.0,0.18,4,22,View Bio
15.0,"Weber, Sophie 15Weber, Sophie",71,170,2.39,14,180,0.922,0.2,0,1,1.0,0.01,0,0,View Bio
21.0,"O'Neill, Ella 21O'Neill, Ella",16,1,0.06,0,0,0.0,0.0,0,4,4.0,0.25,0,0,View Bio
23.0,"Smith, Sophie 23Smith, Sophie",1,1,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
33.0,"Lowrey, Payton 33Lowrey, Payton",118,509,4.31,28,509,0.945,0.24,0,0,0.0,0.0,0,0,View Bio
,Total,127,2171,17.09,204,1745,0.883,1.61,43,170,128.0,1.01,29,41,
,Opponents,127,1982,15.61,247,1820,0.864,1.94,48,346,221.0,1.74,29,56,
