#,Player,SP,MP,MS,PTS,PTS/S,Attack,Attack,Attack,Attack,Attack,Set,Set,Serve,Serve,Serve,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
1.0,"Kuhn, Kaylin 1Kuhn, Kaylin",28,8,8.0,155.0,5.54,132,4.71,41,307,0.296,4,0.14,19,0.68,19,View Bio
3.0,"Miles, Malaina 3Miles, Malaina",16,6,3.0,33.0,2.06,29,1.81,10,78,0.244,1,0.06,0,0.0,0,View Bio
4.0,"Woock, Rachel 4Woock, Rachel",27,8,7.0,68.0,2.52,61,2.26,34,171,0.158,1,0.04,6,0.22,8,View Bio
5.0,"Vajda, Julianna 5Vajda, Julianna",11,4,0.0,12.5,1.14,5,0.45,1,16,0.25,0,0.0,7,0.64,2,View Bio
6.0,"Richardson, Avery 6Richardson, Avery",2,2,0.0,3.0,1.5,3,1.5,1,7,0.286,0,0.0,0,0.0,0,View Bio
7.0,"Killin, Anna 7Killin, Anna",15,5,5.0,31.0,2.07,25,1.67,9,56,0.286,0,0.0,0,0.0,0,View Bio
9.0,"Nyquist, Emmy 9Nyquist, Emmy",28,8,1.0,6.0,0.21,0,0.0,0,2,0.0,4,0.14,6,0.21,6,View Bio
10.0,"Roth, Julianna 10Roth, Julianna",19,8,5.0,8.5,0.45,6,0.32,3,35,0.086,174,9.16,2,0.11,4,View Bio
11.0,"Jensen, Olivia 11Jensen, Olivia",25,8,8.0,72.0,2.88,64,2.56,4,135,0.444,1,0.04,3,0.12,2,View Bio
13.0,"Keller, Jenna 13Keller, Jenna",27,8,4.0,67.0,2.48,62,2.3,37,161,0.155,6,0.22,1,0.04,7,View Bio
14.0,"Brewer, Emily 14Brewer, Emily",16,8,3.0,32.0,2.0,21,1.31,4,51,0.333,153,9.56,8,0.5,10,View Bio
15.0,"Weber, Sophie 15Weber, Sophie",20,8,4.0,3.0,0.15,0,0.0,0,3,0.0,2,0.1,3,0.15,8,View Bio
21.0,"O'Neill, Ella 21O'Neill, Ella",3,3,0.0,4.0,1.33,4,1.33,0,5,0.8,1,0.33,0,0.0,0,View Bio
33.0,"Lowrey, Payton 33Lowrey, Payton",27,8,0.0,11.0,0.41,0,0.0,1,15,-0.067,25,0.93,11,0.41,12,View Bio
,Total,28,8,,506.0,18.07,412,14.71,145,1042,0.256,372,13.29,66,2.36,78,
,Opponents,28,8,,339.0,12.11,261,9.32,126,947,0.143,246,8.79,41,1.46,41,
