Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Howe, Madison",SO-2,13:21.29,The Midwest Conference Outdoor T&F Championships,"May 10, 2019"
,"Timmermans, Merel",SO-2,13:39.98,The Midwest Conference Outdoor T&F Championships,"May 10, 2019"
