Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Schaefer, Emma",SO-2,18:38.71,2019 Kip Janvrin Open,"Apr 25, 2019"
,"Cottrell, Allison",SO-2,19:17.37,The Midwest Conference Outdoor T&F Championships,"May 10, 2019"
,"Keleher, Cara",SO-2,19:43.04,2019 Kip Janvrin Open,"Apr 25, 2019"
