0,1,2,3,4
,,,Low,
Season,Rounds,Strokes,Round,Average
2018-19,11,1066,90,96.9
2019-20,1.5,137,94,91.3
2020-21,2,186,93,93.0
Totals,14.5,1389,90,95.8
