School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Grinnell*^,6-0,1.000,25-4,.862,L1,9-0,4-1,12-3
Lake Forest*,5-1,.833,14-7,.667,L1,9-2,1-3,4-2
Cornell College*,4-2,.667,17-8,.680,L1,8-4,4-3,5-1
Lawrence*,3-3,.500,5-12,.294,L4,2-6,3-5,0-1
Illinois Col.,2-4,.333,10-11,.476,L2,6-4,2-6,2-1
Ripon,1-5,.167,3-17,.150,L2,2-6,1-5,0-6
Monmouth (IL),0-6,.000,0-12,.000,L12,0-5,0-5,0-2
