School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Grinnell,0-0,.000,4-1,.800,L1,1-0,1-0,2-1
Cornell College,0-0,.000,3-1-1,.700,W2,1-1-1,0-0,2-0
Illinois Col.,0-0,.000,1-3,.250,L1,1-0,0-2,0-1
Lawrence,0-0,.000,1-3,.250,L1,0-1,1-1,0-1
Lake Forest,0-0,.000,0-0,.000,,0-0,0-0,0-0
Ripon,0-0,.000,0-2,.000,L2,0-0,0-2,0-0
Monmouth (IL),0-0,.000,0-3,.000,L3,0-0,0-3,0-0
