School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Grinnell,0-0,.000,8-3,.727,L1,6-0,2-3,0-0
Monmouth (IL),0-0,.000,4-2,.667,W2,1-0,1-0,2-2
Cornell College,0-0,.000,10-6,.625,L4,7-1,3-1,0-4
Lawrence,0-0,.000,4-3,.571,W1,2-0,2-2,0-1
Lake Forest,0-0,.000,4-4,.500,L2,4-2,0-1,0-1
Knox,0-0,.000,2-2,.500,W1,0-0,2-2,0-0
Ripon,0-0,.000,2-3,.400,W2,2-1,0-0,0-2
St. Norbert College,0-0,.000,3-5,.375,W1,3-3,0-2,0-0
Illinois Col.,0-0,.000,0-4,.000,L4,0-2,0-2,0-0
