School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Grinnell*,8-0,1.000,18-10,.643,L1,7-0,5-3,6-7
Cornell College*,7-1,.875,17-11,.607,L1,8-3,5-3,4-5
Lake Forest*,6-2,.750,14-11,.560,L1,1-4,8-1,5-6
Lawrence*,5-3,.625,11-10,.524,L1,7-4,2-2,2-4
Monmouth (IL),4-4,.500,7-12,.368,L2,2-3,4-4,1-5
St. Norbert College,3-5,.375,8-8,.500,L1,2-4,4-4,2-0
Illinois Col.,2-6,.250,3-12,.200,L4,2-5,1-5,0-2
Knox,1-7,.125,1-16,.059,L6,1-8,0-6,0-2
Ripon,0-8,.000,0-15,.000,L15,0-6,0-8,0-1
