Statistic,Grinnell College,Opponents OPP
Scoring,Scoring,Scoring
Total Points TOT,2851,2629
Points Per Game PPG,114.0,105.2
Scoring Margin Margin,8.9,--
Shooting,Shooting,Shooting
FG: Made-Attempted FGM-FGA,913-2146,991-1677
FG: Percentage FG%,.425,.591
FG: Per Game FGM/G,36.5,39.6
3PT: Made-Attempted 3PT-3PA,548-1460,84-250
3PT: Percentage 3PT%,.375,.336
3PT: Per Game 3PT/G,21.9,3.4
FT: Made-Attempted FTM-FTA,477-630,563-838
FT: Percentage FT%,.757,.672
FT: Per Game FT/G,19.1,22.5
Rebounding,Rebounding,Rebounding
Total TOT,971,1185
Per Game RPG,38.8,47.4
Margin,-8.6,--
Assists,Assists,Assists
Total TOT,502,543
Per Game APG,20.1,21.7
Turnovers,Turnovers,Turnovers
Total TOT,376,612
Per Game TO/G,15.0,24.5
Margin,9.4,--
Assist/Turnover Ratio A/TO,1.3,0.9
Points Off Turnovers PTS OFF TO,32.5,17.5
Steals,Steals,Steals
Total TOT,318,191
Per Game STL/G,12.7,7.6
Blocks,Blocks,Blocks
Total TOT,86,60
Per Game BLK/G,3.4,2.4
Attendance,Attendance,Attendance
Total TOT,10682,10057
Per Game AVG,11-971,11-914
