Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#33 Curta, Nick",25,117,4.7,58,2.3,59,2.4
"#44 Zachary, Tague",25,110,4.4,42,1.7,68,2.7
#TM Team,20,83,4.2,43,2.2,40,2.0
"#21 Bayer, Braedon",25,70,2.8,26,1.0,44,1.8
"#35 Ekstrand, Jacob",25,68,2.7,29,1.2,39,1.6
"#02 Yeager, Luke",25,68,2.7,35,1.4,33,1.3
"#13 Porter, Mike",24,55,2.3,30,1.3,25,1.0
"#03 Parker, Kyle",18,51,2.8,22,1.2,29,1.6
"#23 Phillip, Ikaika",25,44,1.8,25,1.0,19,0.8
"#24 Taylor, Jack",25,40,1.6,21,0.8,19,0.8
"#10 Jasaitis , Matt",23,38,1.7,28,1.2,10,0.4
"#42 Van Oort, Jake",23,32,1.4,19,0.8,13,0.6
"#12 Marx, Julian",23,29,1.3,17,0.7,12,0.5
"#25 Balcom, Nathan",25,25,1.0,14,0.6,11,0.4
"#11 King, Gus",17,24,1.4,11,0.6,13,0.8
"#22 Thomas, Danny",16,22,1.4,10,0.6,12,0.8
"#15 Bartuch, Dylan",24,21,0.9,12,0.5,9,0.4
"#45 Cullinane, Sean",20,12,0.6,5,0.3,7,0.4
"#05 Gardner, Hayes",14,11,0.8,4,0.3,7,0.5
"#03 Page, James",9,11,1.2,3,0.3,8,0.9
"#54 Redhead, Andrew",13,8,0.6,4,0.3,4,0.3
"#04 LaMacchia, Anthony",20,4,0.2,4,0.2,0,0.0
"#22 LeMoine, Brent",6,4,0.7,2,0.3,2,0.3
"#11 Davis, Ryan",1,1,1.0,0,0.0,1,1.0
"#42 Van Oort, Jake",1,1,1.0,1,1.0,0,0.0
