Name,GP,AST,AST/G
"#21 Bayer, Braedon",25,111,4.4
"#02 Yeager, Luke",25,67,2.7
"#24 Taylor, Jack",25,64,2.6
"#03 Parker, Kyle",18,54,3.0
"#12 Marx, Julian",23,47,2.0
"#13 Porter, Mike",24,47,2.0
"#10 Jasaitis , Matt",23,17,0.7
"#23 Phillip, Ikaika",25,15,0.6
"#22 Thomas, Danny",16,14,0.9
"#33 Curta, Nick",25,11,0.4
"#35 Ekstrand, Jacob",25,11,0.4
"#44 Zachary, Tague",25,11,0.4
"#25 Balcom, Nathan",25,8,0.3
"#15 Bartuch, Dylan",24,7,0.3
"#42 Van Oort, Jake",23,4,0.2
"#45 Cullinane, Sean",20,3,0.2
"#11 King, Gus",17,3,0.2
"#04 LaMacchia, Anthony",20,3,0.2
"#05 Gardner, Hayes",14,2,0.1
"#54 Redhead, Andrew",13,2,0.2
"#42 Van Oort, Jake",1,1,1.0
