Name,GP,Pts,Pts/G
"#24 Taylor, Jack",25,709,28.4
"#02 Yeager, Luke",25,549,22.0
"#12 Marx, Julian",23,284,12.3
"#21 Bayer, Braedon",25,268,10.7
"#44 Zachary, Tague",25,183,7.3
"#35 Ekstrand, Jacob",25,136,5.4
"#23 Phillip, Ikaika",25,126,5.0
"#13 Porter, Mike",24,87,3.6
"#03 Parker, Kyle",18,83,4.6
"#10 Jasaitis , Matt",23,81,3.5
"#33 Curta, Nick",25,78,3.1
"#25 Balcom, Nathan",25,76,3.0
"#22 Thomas, Danny",16,41,2.6
"#11 King, Gus",17,39,2.3
"#04 LaMacchia, Anthony",20,36,1.8
"#42 Van Oort, Jake",23,19,0.8
"#15 Bartuch, Dylan",24,18,0.8
"#45 Cullinane, Sean",20,17,0.9
"#05 Gardner, Hayes",14,10,0.7
"#54 Redhead, Andrew",13,5,0.4
"#03 Page, James",9,4,0.4
"#22 LeMoine, Brent",6,2,0.3
