Name,GP,AST,TO,AST/TO Ratio
"#12 Marx, Julian",23,47,15,3.13
"#13 Porter, Mike",24,47,23,2.04
"#25 Balcom, Nathan",25,8,6,1.33
"#15 Bartuch, Dylan",24,7,4,1.75
"#21 Bayer, Braedon",25,111,69,1.61
"#45 Cullinane, Sean",20,3,3,1.0
"#33 Curta, Nick",25,11,10,1.1
"#35 Ekstrand, Jacob",25,11,10,1.1
"#05 Gardner, Hayes",14,2,2,1.0
"#10 Jasaitis , Matt",23,17,10,1.7
"#03 Parker, Kyle",18,54,36,1.5
"#23 Phillip, Ikaika",25,15,11,1.36
"#24 Taylor, Jack",25,64,62,1.03
"#22 Thomas, Danny",16,14,11,1.27
"#02 Yeager, Luke",25,67,51,1.31
