Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#24 Taylor, Jack",25,126,305,0.413,5.0,12.2
"#02 Yeager, Luke",25,92,239,0.385,3.7,9.6
"#12 Marx, Julian",23,79,170,0.465,3.4,7.4
"#23 Phillip, Ikaika",25,37,89,0.416,1.5,3.6
"#35 Ekstrand, Jacob",25,31,92,0.337,1.2,3.7
"#21 Bayer, Braedon",25,27,88,0.307,1.1,3.5
"#44 Zachary, Tague",25,27,81,0.333,1.1,3.2
"#25 Balcom, Nathan",25,25,51,0.49,1.0,2.0
"#10 Jasaitis , Matt",23,25,80,0.313,1.1,3.5
"#13 Porter, Mike",24,19,58,0.328,0.8,2.4
"#03 Parker, Kyle",18,17,70,0.243,0.9,3.9
"#04 LaMacchia, Anthony",20,12,31,0.387,0.6,1.6
"#11 King, Gus",17,10,34,0.294,0.6,2.0
"#33 Curta, Nick",25,6,18,0.333,0.2,0.7
"#45 Cullinane, Sean",20,5,14,0.357,0.3,0.7
"#15 Bartuch, Dylan",24,4,13,0.308,0.2,0.5
"#42 Van Oort, Jake",23,3,12,0.25,0.1,0.5
"#05 Gardner, Hayes",14,2,4,0.5,0.1,0.3
"#54 Redhead, Andrew",13,1,5,0.2,0.1,0.4
"#22 Thomas, Danny",16,0,6,0.0,0.0,0.4
