Name,GP,BLK,BLK/G
"#44 Zachary, Tague",25,31,1.2
"#33 Curta, Nick",25,23,0.9
"#35 Ekstrand, Jacob",25,10,0.4
"#21 Bayer, Braedon",25,8,0.3
"#42 Van Oort, Jake",23,5,0.2
"#23 Phillip, Ikaika",25,2,0.1
"#13 Porter, Mike",24,2,0.1
"#02 Yeager, Luke",25,2,0.1
"#22 LeMoine, Brent",6,1,0.2
"#54 Redhead, Andrew",13,1,0.1
"#22 Thomas, Danny",16,1,0.1
