#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
24.0,"Taylor, Jack 24 Taylor, Jack",25,18.9,0.439,0.413,0.873,0.8,0.8,1.6,2.6,1.2,0.0,28.4
2.0,"Yeager, Luke 02 Yeager, Luke",25,20.1,0.45,0.385,0.861,1.4,1.3,2.7,2.7,1.7,0.1,22.0
12.0,"Marx, Julian 12 Marx, Julian",23,16.9,0.46,0.465,0.875,0.7,0.5,1.3,2.0,1.1,0.0,12.3
21.0,"Bayer, Braedon 21 Bayer, Braedon",25,15.7,0.439,0.307,0.567,1.0,1.8,2.8,4.4,1.9,0.3,10.7
44.0,"Zachary, Tague 44 Zachary, Tague",25,17.0,0.511,0.333,0.688,1.7,2.7,4.4,0.4,0.8,1.2,7.3
23.0,"Phillip, Ikaika 23 Phillip, Ikaika",25,13.6,0.408,0.416,0.6,1.0,0.8,1.8,0.6,0.6,0.1,5.0
35.0,"Ekstrand, Jacob 35 Ekstrand, Jacob",25,11.3,0.403,0.337,0.625,1.2,1.6,2.7,0.4,1.0,0.4,5.4
3.0,"Parker, Kyle 03 Parker, Kyle",18,15.7,0.277,0.243,0.526,1.2,1.6,2.8,3.0,1.4,0.0,4.6
13.0,"Porter, Mike 13 Porter, Mike",24,13.9,0.307,0.328,0.733,1.3,1.0,2.3,2.0,0.8,0.1,3.6
25.0,"Balcom, Nathan 25 Balcom, Nathan",25,11.0,0.49,0.49,0.25,0.6,0.4,1.0,0.3,0.4,0.0,3.0
33.0,"Curta, Nick 33 Curta, Nick",25,12.9,0.491,0.333,0.64,2.3,2.4,4.7,0.4,0.5,0.9,3.1
10.0,"Jasaitis , Matt 10 Jasaitis , Matt",23,10.7,0.321,0.313,1.0,1.2,0.4,1.7,0.7,0.4,0.0,3.5
11.0,"King, Gus 11 King, Gus",17,7.3,0.317,0.294,0.429,0.6,0.8,1.4,0.2,0.3,0.0,2.3
22.0,"Thomas, Danny 22 Thomas, Danny",16,7.4,0.452,0.0,0.867,0.6,0.8,1.4,0.9,0.3,0.1,2.6
4.0,"LaMacchia, Anthony 04 LaMacchia, Anthony",20,4.7,0.387,0.387,0.0,0.2,0.0,0.2,0.2,0.1,0.0,1.8
15.0,"Bartuch, Dylan 15 Bartuch, Dylan",24,5.7,0.357,0.308,0.5,0.5,0.4,0.9,0.3,0.2,0.0,0.8
42.0,"Van Oort, Jake 42 Van Oort, Jake",23,4.6,0.412,0.25,0.5,0.8,0.6,1.4,0.2,0.4,0.2,0.8
5.0,"Gardner, Hayes 05 Gardner, Hayes",14,1.4,0.375,0.5,0.5,0.3,0.5,0.8,0.1,0.0,0.0,0.7
3.0,"Page, James 03 Page, James",9,3.7,1.0,0.0,0.0,0.3,0.9,1.2,0.0,0.3,0.0,0.4
45.0,"Cullinane, Sean 45 Cullinane, Sean",20,4.2,0.4,0.357,0.0,0.3,0.4,0.6,0.2,0.2,0.0,0.9
22.0,"LeMoine, Brent 22 LeMoine, Brent",6,3.0,0.5,0.0,0.0,0.3,0.3,0.7,0.0,0.2,0.2,0.3
54.0,"Redhead, Andrew 54 Redhead, Andrew",13,2.1,0.25,0.2,0.0,0.3,0.3,0.6,0.2,0.2,0.1,0.4
42.0,"Van Oort, Jake 42 Van Oort, Jake",1,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
,Total,25,201.0,0.425,0.375,0.757,18.6,19.4,38.0,20.1,12.7,3.4,114.04
,Opponents,25,201.0,0.591,0.336,0.672,14.0,33.4,47.4,21.7,7.6,2.4,105.16
