Name,GP,MIN,MIN/G
"#02 Yeager, Luke",25,502,20.1
"#24 Taylor, Jack",25,473,18.9
"#44 Zachary, Tague",25,426,17.0
"#21 Bayer, Braedon",25,393,15.7
"#12 Marx, Julian",23,389,16.9
"#23 Phillip, Ikaika",25,340,13.6
"#13 Porter, Mike",24,334,13.9
"#33 Curta, Nick",25,322,12.9
"#35 Ekstrand, Jacob",25,283,11.3
"#03 Parker, Kyle",18,282,15.7
"#25 Balcom, Nathan",25,274,11.0
"#10 Jasaitis , Matt",23,246,10.7
"#15 Bartuch, Dylan",24,137,5.7
"#11 King, Gus",17,124,7.3
"#22 Thomas, Danny",16,118,7.4
"#42 Van Oort, Jake",23,105,4.6
"#04 LaMacchia, Anthony",20,93,4.7
"#45 Cullinane, Sean",20,84,4.2
"#03 Page, James",9,33,3.7
"#54 Redhead, Andrew",13,27,2.1
"#05 Gardner, Hayes",14,19,1.4
"#22 LeMoine, Brent",6,18,3.0
"#42 Van Oort, Jake",1,3,3.0
