Name,GP,PF,PF/G
"#02 Yeager, Luke",25,78,3.1
"#33 Curta, Nick",25,67,2.7
"#44 Zachary, Tague",25,62,2.5
"#21 Bayer, Braedon",25,56,2.2
"#13 Porter, Mike",24,54,2.3
"#23 Phillip, Ikaika",25,48,1.9
"#35 Ekstrand, Jacob",25,46,1.8
"#03 Parker, Kyle",18,35,1.9
"#12 Marx, Julian",23,34,1.5
"#10 Jasaitis , Matt",23,33,1.4
"#42 Van Oort, Jake",23,28,1.2
"#25 Balcom, Nathan",25,27,1.1
"#11 King, Gus",17,26,1.5
"#24 Taylor, Jack",25,24,1.0
"#54 Redhead, Andrew",13,14,1.1
"#45 Cullinane, Sean",20,13,0.7
"#22 Thomas, Danny",16,13,0.8
"#04 LaMacchia, Anthony",20,6,0.3
"#03 Page, James",9,6,0.7
"#15 Bartuch, Dylan",24,5,0.2
"#05 Gardner, Hayes",14,3,0.2
"#22 LeMoine, Brent",6,1,0.2
