Statistic,High,Opponent
POINTS,136,Blackburn College (11/16/14)
FIELD GOALS MADE,48,William Penn (12/09/14)
FIELD GOAL ATTEMPTS,114,William Penn (12/09/14)
3 PT FIELD GOALS MADE,32,Beloit (01/24/15)
3 PT FG ATTEMPTS,76,Cornell College (01/21/15)
FREE THROWS MADE,34,Blackburn College (11/16/14)
FREE THROW ATTEMPTS,43,Monmouth (IL) (11/25/14)
REBOUNDS,58,George Fox Univ. (11/15/14)
ASSISTS,32,Knox College (01/13/15)
STEALS,22,Cornell College (12/03/14); Knox College (01/13/15); Cornell College (01/21/15)
BLOCKED SHOTS,12,Knox (02/18/15)
TURNOVERS,26,Carroll Universtiy (01/17/15)
FOULS,40,George Fox Univ. (11/15/14)
