Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#24 Taylor, Jack",25,199,453,0.439,8.0,18.1
"#02 Yeager, Luke",25,176,391,0.45,7.0,15.6
"#21 Bayer, Braedon",25,93,212,0.439,3.7,8.5
"#12 Marx, Julian",23,92,200,0.46,4.0,8.7
"#44 Zachary, Tague",25,67,131,0.511,2.7,5.2
"#35 Ekstrand, Jacob",25,50,124,0.403,2.0,5.0
"#23 Phillip, Ikaika",25,40,98,0.408,1.6,3.9
"#33 Curta, Nick",25,28,57,0.491,1.1,2.3
"#03 Parker, Kyle",18,28,101,0.277,1.6,5.6
"#10 Jasaitis , Matt",23,27,84,0.321,1.2,3.7
"#25 Balcom, Nathan",25,25,51,0.49,1.0,2.0
"#13 Porter, Mike",24,23,75,0.307,1.0,3.1
"#22 Thomas, Danny",16,14,31,0.452,0.9,1.9
"#11 King, Gus",17,13,41,0.317,0.8,2.4
"#04 LaMacchia, Anthony",20,12,31,0.387,0.6,1.6
"#42 Van Oort, Jake",23,7,17,0.412,0.3,0.7
"#45 Cullinane, Sean",20,6,15,0.4,0.3,0.8
"#15 Bartuch, Dylan",24,5,14,0.357,0.2,0.6
"#05 Gardner, Hayes",14,3,8,0.375,0.2,0.6
"#03 Page, James",9,2,2,1.0,0.2,0.2
"#54 Redhead, Andrew",13,2,8,0.25,0.2,0.6
"#22 LeMoine, Brent",6,1,2,0.5,0.2,0.3
