Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
at George Fox Univ.,11/15/14,114-124,L,35-99,0.354,14-54,0.259,30-38,0.789,25,33,58,58.0,40,12,22,5,14,114,114.0
vs Blackburn College,11/16/14,136-112,W,42-95,0.442,18-54,0.333,34-40,0.85,23,27,50,54.0,36,31,16,3,20,136,125.0
at Beloit College,11/22/14,109-118,L,35-90,0.389,20-60,0.333,19-28,0.679,21,17,38,48.7,37,11,16,2,7,109,119.7
vs Monmouth (IL),11/25/14,114-119,L,32-77,0.416,18-47,0.383,32-43,0.744,14,20,34,45.0,36,13,15,4,10,114,118.3
vs Lake Forest,11/29/14,130-116,W,37-90,0.411,28-72,0.389,28-36,0.778,20,15,35,43.0,30,24,12,3,9,130,120.6
vs Presentation,11/30/14,133-119,W,44-91,0.484,17-45,0.378,28-40,0.7,27,20,47,43.7,24,16,14,7,9,133,122.7
vs Cornell College,12/03/14,127-73,W,42-85,0.494,30-61,0.492,13-16,0.813,18,25,43,43.6,24,27,20,8,22,127,123.3
at St. Norbert College,12/06/14,75-102,L,27-81,0.333,16-61,0.262,5-9,0.556,17,8,25,41.3,30,15,7,2,4,75,117.3
at William Penn,12/09/14,134-151,L,48-114,0.421,25-73,0.342,13-17,0.765,29,19,48,42.0,29,19,24,0,9,134,119.1
vs Simpson,12/13/14,101-104,L,33-88,0.375,20-57,0.351,15-18,0.833,20,25,45,42.3,27,13,15,0,14,101,117.3
vs Lawrence,01/03/15,126-116,W,39-84,0.464,30-64,0.469,18-23,0.783,18,15,33,41.5,21,24,12,2,16,126,118.1
vs Ripon,01/10/15,112-96,W,37-82,0.451,24-58,0.414,14-20,0.7,17,17,34,40.8,24,26,16,0,21,112,117.6
at Knox College,01/13/15,111-91,W,39-97,0.402,21-60,0.35,12-13,0.923,27,13,40,40.8,23,32,13,3,22,111,117.1
at Carroll Universtiy,01/17/15,131-139,L (OT),40-90,0.444,23-62,0.371,28-36,0.778,17,16,33,40.2,30,20,26,3,8,131,118.1
at Cornell College,01/21/15,110-116,L,34-104,0.327,19-76,0.25,23-28,0.821,26,15,41,40.3,27,14,16,3,22,110,117.5
vs Beloit,01/24/15,128-110,W,42-87,0.483,32-67,0.478,12-17,0.706,24,14,38,40.1,21,25,16,4,10,128,118.2
vs Illinois College,01/27/15,113-74,W,39-74,0.527,23-47,0.489,12-20,0.6,13,24,37,39.9,18,26,15,4,17,113,117.9
at Ripon College,01/31/15,117-108,W,38-76,0.5,20-47,0.426,21-29,0.724,10,17,27,39.2,23,19,6,1,6,117,117.8
at Monmouth College,02/04/15,108-82,W,35-78,0.449,25-59,0.424,13-19,0.684,20,21,41,39.3,26,19,13,1,11,108,117.3
vs Carroll Universtiy,02/07/15,116-87,W,37-71,0.521,22-49,0.449,20-31,0.645,14,20,34,39.1,20,17,19,7,12,116,117.3
at Lake Forest College,02/14/15,94-101,L,31-88,0.352,22-70,0.314,10-14,0.714,18,19,37,39.0,35,15,8,5,13,94,116.1
vs Knox,02/18/15,116-84,W,33-82,0.402,21-65,0.323,29-30,0.967,23,28,51,39.5,20,25,19,12,16,116,116.1
at Illinois College,02/21/15,125-107,W,42-88,0.477,25-54,0.463,16-20,0.8,13,29,42,39.6,27,24,15,3,15,125,116.5
at Monmouth College,02/27/15,98-89,W,28-71,0.394,15-47,0.319,27-35,0.771,14,17,31,39.3,29,15,14,3,8,98,115.8
at St. Norbert College,02/28/15,73-91,L,24-64,0.375,20-51,0.392,5-10,0.5,11,18,29,38.8,22,20,7,1,3,73,114.0
Grinnell College,,-,,913-2146,0.425,548-1460,0.375,477-630,0.757,479,492,971,38.8,679,502,376,86,318,2851,114.0
Opponents,,-,,991-1677,0.591,84-250,0.336,563-838,0.672,351,834,1185,47.4,566,543,612,60,191,2629,105.2
