#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
24.0,"Taylor, Jack 24 Taylor, Jack",25,20.0,473,199,453,0.439,126,305,0.413,185,212,0.873,709,28.4
2.0,"Yeager, Luke 02 Yeager, Luke",25,12.0,502,176,391,0.45,92,239,0.385,105,122,0.861,549,22.0
12.0,"Marx, Julian 12 Marx, Julian",23,6.0,389,92,200,0.46,79,170,0.465,21,24,0.875,284,12.3
21.0,"Bayer, Braedon 21 Bayer, Braedon",25,3.0,393,93,212,0.439,27,88,0.307,55,97,0.567,268,10.7
44.0,"Zachary, Tague 44 Zachary, Tague",25,20.0,426,67,131,0.511,27,81,0.333,22,32,0.688,183,7.3
23.0,"Phillip, Ikaika 23 Phillip, Ikaika",25,7.0,340,40,98,0.408,37,89,0.416,9,15,0.6,126,5.0
35.0,"Ekstrand, Jacob 35 Ekstrand, Jacob",25,0.0,283,50,124,0.403,31,92,0.337,5,8,0.625,136,5.4
3.0,"Parker, Kyle 03 Parker, Kyle",18,7.0,282,28,101,0.277,17,70,0.243,10,19,0.526,83,4.6
13.0,"Porter, Mike 13 Porter, Mike",24,10.0,334,23,75,0.307,19,58,0.328,22,30,0.733,87,3.6
25.0,"Balcom, Nathan 25 Balcom, Nathan",25,8.0,274,25,51,0.49,25,51,0.49,1,4,0.25,76,3.0
33.0,"Curta, Nick 33 Curta, Nick",25,5.0,322,28,57,0.491,6,18,0.333,16,25,0.64,78,3.1
10.0,"Jasaitis , Matt 10 Jasaitis , Matt",23,2.0,246,27,84,0.321,25,80,0.313,2,2,1.0,81,3.5
11.0,"King, Gus 11 King, Gus",17,3.0,124,13,41,0.317,10,34,0.294,3,7,0.429,39,2.3
22.0,"Thomas, Danny 22 Thomas, Danny",16,3.0,118,14,31,0.452,0,6,0.0,13,15,0.867,41,2.6
4.0,"LaMacchia, Anthony 04 LaMacchia, Anthony",20,3.0,93,12,31,0.387,12,31,0.387,0,0,0.0,36,1.8
15.0,"Bartuch, Dylan 15 Bartuch, Dylan",24,8.0,137,5,14,0.357,4,13,0.308,4,8,0.5,18,0.8
42.0,"Van Oort, Jake 42 Van Oort, Jake",23,3.0,105,7,17,0.412,3,12,0.25,2,4,0.5,19,0.8
5.0,"Gardner, Hayes 05 Gardner, Hayes",14,2.0,19,3,8,0.375,2,4,0.5,2,4,0.5,10,0.7
3.0,"Page, James 03 Page, James",9,2.0,33,2,2,1.0,0,0,0.0,0,2,0.0,4,0.4
45.0,"Cullinane, Sean 45 Cullinane, Sean",20,1.0,84,6,15,0.4,5,14,0.357,0,0,0.0,17,0.9
22.0,"LeMoine, Brent 22 LeMoine, Brent",6,0.0,18,1,2,0.5,0,0,0.0,0,0,0.0,2,0.3
54.0,"Redhead, Andrew 54 Redhead, Andrew",13,0.0,27,2,8,0.25,1,5,0.2,0,0,0.0,5,0.4
42.0,"Van Oort, Jake 42 Van Oort, Jake",1,0.0,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
,Total,25,,5025,913,2146,0.425,548,1460,0.375,477,630,0.757,2851,114.04
,Opponents,25,,5025,991,1677,0.591,84,250,0.336,563,838,0.672,2629,105.16
