Statistic,High,Player,Opponent
POINTS,52,Jack Taylor,Beloit College (11/22/14)
FIELD GOALS MADE,20,Luke Yeager,William Penn (12/09/14)
FIELD GOAL ATTEMPTS,39,Luke Yeager,William Penn (12/09/14)
3 PT FIELD GOALS MADE,11,"Taylor,Jack; Jack Taylor",Simpson (12/13/14); Beloit College (11/22/14)
3 PT FG ATTEMPTS,24,Jack Taylor,Beloit College (11/22/14)
FREE THROWS MADE,15,Jack Taylor,Monmouth College (02/27/15)
FREE THROW ATTEMPTS,19,Jack Taylor,Monmouth College (02/27/15)
REBOUNDS,10,Nick Curta,George Fox Univ. (11/15/14)
ASSISTS,12,Braedon Bayer,Cornell College (12/03/14)
STEALS,6,Kyle Parker,Illinois College (01/27/15)
BLOCKED SHOTS,5,Tague Zachary,Knox (02/18/15)
TURNOVERS,7,Braedon Bayer; Kyle Parker,Beloit College (11/22/14); Carroll Universtiy (01/17/15)
FOULS,5,Ikaika Phillip; Luke Yeager; Nick Curta; Braedon Bayer; Mike Porter,Blackburn College (11/16/14); Monmouth (IL) (11/25/14); George Fox Univ. (11/15/14); Beloit College (11/22/14); William Penn (12/09/14); Carroll Universtiy (01/17/15); Monmouth College (02/27/15)
