#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
24,"Taylor, Jack 24 Taylor, Jack",25,20.0,473,18.9,199,453,0.439,126,305,0.413,185,212,0.873,709,28.4,21,19,40,1.6,24,64,62,30,0,View Bio
02,"Yeager, Luke 02 Yeager, Luke",25,12.0,502,20.1,176,391,0.45,92,239,0.385,105,122,0.861,549,22.0,35,33,68,2.7,78,67,51,43,2,View Bio
12,"Marx, Julian 12 Marx, Julian",23,6.0,389,16.9,92,200,0.46,79,170,0.465,21,24,0.875,284,12.3,17,12,29,1.3,34,47,15,25,0,View Bio
21,"Bayer, Braedon 21 Bayer, Braedon",25,3.0,393,15.7,93,212,0.439,27,88,0.307,55,97,0.567,268,10.7,26,44,70,2.8,56,111,69,48,8,View Bio
44,"Zachary, Tague 44 Zachary, Tague",25,20.0,426,17.0,67,131,0.511,27,81,0.333,22,32,0.688,183,7.3,42,68,110,4.4,62,11,22,21,31,View Bio
35,"Ekstrand, Jacob 35 Ekstrand, Jacob",25,0.0,283,11.3,50,124,0.403,31,92,0.337,5,8,0.625,136,5.4,29,39,68,2.7,46,11,10,26,10,View Bio
23,"Phillip, Ikaika 23 Phillip, Ikaika",25,7.0,340,13.6,40,98,0.408,37,89,0.416,9,15,0.6,126,5.0,25,19,44,1.8,48,15,11,14,2,View Bio
03,"Parker, Kyle 03 Parker, Kyle",18,7.0,282,15.7,28,101,0.277,17,70,0.243,10,19,0.526,83,4.6,22,29,51,2.8,35,54,36,26,0,View Bio
13,"Porter, Mike 13 Porter, Mike",24,10.0,334,13.9,23,75,0.307,19,58,0.328,22,30,0.733,87,3.6,30,25,55,2.3,54,47,23,18,2,View Bio
10,"Jasaitis , Matt 10 Jasaitis , Matt",23,2.0,246,10.7,27,84,0.321,25,80,0.313,2,2,1.0,81,3.5,28,10,38,1.7,33,17,10,10,0,View Bio
33,"Curta, Nick 33 Curta, Nick",25,5.0,322,12.9,28,57,0.491,6,18,0.333,16,25,0.64,78,3.1,58,59,117,4.7,67,11,10,12,23,View Bio
25,"Balcom, Nathan 25 Balcom, Nathan",25,8.0,274,11.0,25,51,0.49,25,51,0.49,1,4,0.25,76,3.0,14,11,25,1.0,27,8,6,9,0,View Bio
22,"Thomas, Danny 22 Thomas, Danny",16,3.0,118,7.4,14,31,0.452,0,6,0.0,13,15,0.867,41,2.6,10,12,22,1.4,13,14,11,5,1,View Bio
11,"King, Gus 11 King, Gus",17,3.0,124,7.3,13,41,0.317,10,34,0.294,3,7,0.429,39,2.3,11,13,24,1.4,26,3,8,5,0,View Bio
04,"LaMacchia, Anthony 04 LaMacchia, Anthony",20,3.0,93,4.7,12,31,0.387,12,31,0.387,0,0,0.0,36,1.8,4,0,4,0.2,6,3,4,2,0,View Bio
45,"Cullinane, Sean 45 Cullinane, Sean",20,1.0,84,4.2,6,15,0.4,5,14,0.357,0,0,0.0,17,0.9,5,7,12,0.6,13,3,3,3,0,View Bio
15,"Bartuch, Dylan 15 Bartuch, Dylan",24,8.0,137,5.7,5,14,0.357,4,13,0.308,4,8,0.5,18,0.8,12,9,21,0.9,5,7,4,5,0,View Bio
42,"Van Oort, Jake 42 Van Oort, Jake",23,3.0,105,4.6,7,17,0.412,3,12,0.25,2,4,0.5,19,0.8,19,13,32,1.4,28,4,9,10,5,View Bio
05,"Gardner, Hayes 05 Gardner, Hayes",14,2.0,19,1.4,3,8,0.375,2,4,0.5,2,4,0.5,10,0.7,4,7,11,0.8,3,2,2,0,0,View Bio
03,"Page, James 03 Page, James",9,2.0,33,3.7,2,2,1.0,0,0,0.0,0,2,0.0,4,0.4,3,8,11,1.2,6,0,2,3,0,View Bio
54,"Redhead, Andrew 54 Redhead, Andrew",13,0.0,27,2.1,2,8,0.25,1,5,0.2,0,0,0.0,5,0.4,4,4,8,0.6,14,2,4,2,1,View Bio
22,"LeMoine, Brent 22 LeMoine, Brent",6,0.0,18,3.0,1,2,0.5,0,0,0.0,0,0,0.0,2,0.3,2,2,4,0.7,1,0,1,1,1,View Bio
11,"Davis, Ryan 11 Davis, Ryan",1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1,1,1.0,0,0,0,0,0,View Bio
TM,Team  TM Team,20,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,43,40,83,4.2,0,0,2,0,0,
42,"Van Oort, Jake 42 Van Oort, Jake",1,0.0,3,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0,1,1.0,0,1,0,0,0,View Bio
,Total,25,,5025,201.0,913,2146,0.425,548,1460,0.375,477,630,0.757,2851,114.04,465,484,949,38.0,679,502,375,318,86,
,Opponents,25,,5025,201.0,991,1677,0.591,84,250,0.336,563,838,0.672,2629,105.16,351,834,1185,47.4,566,543,612,191,60,
