Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#24 Taylor, Jack",25,185,212,0.873,7.4,8.5
"#02 Yeager, Luke",25,105,122,0.861,4.2,4.9
"#21 Bayer, Braedon",25,55,97,0.567,2.2,3.9
"#13 Porter, Mike",24,22,30,0.733,0.9,1.3
"#44 Zachary, Tague",25,22,32,0.688,0.9,1.3
"#12 Marx, Julian",23,21,24,0.875,0.9,1.0
"#33 Curta, Nick",25,16,25,0.64,0.6,1.0
"#22 Thomas, Danny",16,13,15,0.867,0.8,0.9
"#03 Parker, Kyle",18,10,19,0.526,0.6,1.1
"#23 Phillip, Ikaika",25,9,15,0.6,0.4,0.6
"#35 Ekstrand, Jacob",25,5,8,0.625,0.2,0.3
"#15 Bartuch, Dylan",24,4,8,0.5,0.2,0.3
"#11 King, Gus",17,3,7,0.429,0.2,0.4
"#05 Gardner, Hayes",14,2,4,0.5,0.1,0.3
"#10 Jasaitis , Matt",23,2,2,1.0,0.1,0.1
"#42 Van Oort, Jake",23,2,4,0.5,0.1,0.2
"#25 Balcom, Nathan",25,1,4,0.25,0.0,0.2
"#03 Page, James",9,0,2,0.0,0.0,0.2
