Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
George Fox Univ.,11/15/14,114-124,-10,35-99/41-84,.354/.488,14-54/5-20,.259/.250,30-38/37-59,.789-.627,58/62 -4,12/26,22/24,5/2,14/6,40/31
Blackburn College,11/16/14,136-112,24,42-95/37-70,.442/.529,18-54/3-13,.333/.231,34-40/35-54,.850-.648,50/49 1,31/17,16/23,3/3,20/8,36/27
Beloit College,11/22/14,109-118,-9,35-90/41-68,.389/.603,20-60/4-8,.333/.500,19-28/32-45,.679-.711,38/57 -19,11/19,16/27,2/0,7/6,37/22
Monmouth (IL),11/25/14,114-119,-5,32-77/42-65,.416/.646,18-47/0-0,.383/NaN,32-43/35-54,.744-.648,34/50 -16,13/24,15/21,4/3,10/10,36/31
Lake Forest,11/29/14,130-116,14,37-90/41-70,.411/.586,28-72/3-12,.389/.250,28-36/31-41,.778-.756,35/59 -24,24/18,12/28,3/1,9/5,30/31
Presentation,11/30/14,133-119,14,44-91/52-85,.484/.612,17-45/1-8,.378/.125,28-40/14-24,.700-.583,47/44 3,16/31,14/19,7/3,9/5,24/31
Cornell College,12/03/14,127-73,54,42-85/30-61,.494/.492,30-61/0-5,.492/.000,13-16/13-25,.813-.520,43/39 4,27/15,20/33,8/4,22/9,24/15
St. Norbert College,12/06/14,75-102,-27,27-81/40-54,.333/.741,16-61/3-4,.262/.750,5-9/19-32,.556-.594,25/50 -25,15/24,7/17,2/1,4/5,30/15
William Penn,12/09/14,134-151,-17,48-114/65-83,.421/.783,25-73/2-6,.342/.333,13-17/19-38,.765-.500,48/50 -2,19/39,24/27,0/3,9/6,29/20
Simpson,12/13/14,101-104,-3,33-88/39-68,.375/.574,20-57/3-13,.351/.231,15-18/23-33,.833-.697,45/48 -3,13/17,15/26,0/3,14/7,27/22
Lawrence,01/03/15,126-116,10,39-84/43-62,.464/.694,30-64/13-19,.469/.684,18-23/17-21,.783-.810,33/37 -4,24/25,12/23,2/5,16/7,21/20
Ripon,01/10/15,112-96,16,37-82/33-54,.451/.611,24-58/4-11,.414/.364,14-20/26-32,.700-.813,34/40 -6,26/19,16/30,0/1,21/9,24/20
Knox College,01/13/15,111-91,20,39-97/35-53,.402/.660,21-60/1-5,.350/.200,12-13/20-25,.923-.800,40/34 6,32/24,13/33,3/5,22/7,23/14
Carroll Universtiy,01/17/15,131-139,-8,40-90/55-82,.444/.671,23-62/1-2,.371/.500,28-36/28-35,.778-.800,33/54 -21,20/37,26/31,3/4,8/17,30/23
Cornell College,01/21/15,110-116,-6,34-104/48-66,.327/.727,19-76/1-5,.250/.200,23-28/19-32,.821-.594,41/54 -13,14/30,16/33,3/3,22/9,27/23
Beloit,01/24/15,128-110,18,42-87/45-67,.483/.672,32-67/2-7,.478/.286,12-17/18-27,.706-.667,38/37 1,25/24,16/20,4/5,10/8,21/21
Illinois College,01/27/15,113-74,39,39-74/30-68,.527/.441,23-47/6-24,.489/.250,12-20/8-15,.600-.533,37/46 -9,26/15,15/28,4/2,17/11,18/17
Ripon College,01/31/15,117-108,9,38-76/41-61,.500/.672,20-47/6-15,.426/.400,21-29/20-26,.724-.769,27/36 -9,19/24,6/17,1/0,6/4,23/25
Monmouth College,02/04/15,108-82,26,35-78/33-62,.449/.532,25-59/2-9,.424/.222,13-19/14-24,.684-.583,41/41 0,19/16,13/21,1/3,11/6,26/23
Carroll Universtiy,02/07/15,116-87,29,37-71/37-64,.521/.578,22-49/3-4,.449/.750,20-31/10-15,.645-.667,34/38 -4,17/17,19/27,7/1,12/8,20/29
Lake Forest College,02/14/15,94-101,-7,31-88/32-67,.352/.478,22-70/6-19,.314/.316,10-14/31-50,.714-.620,37/67 -30,15/17,8/22,5/2,13/6,35/17
Knox,02/18/15,116-84,32,33-82/33-75,.402/.440,21-65/4-9,.323/.444,29-30/14-27,.967-.519,51/49 2,25/15,19/28,12/0,16/13,20/26
Illinois College,02/21/15,125-107,18,42-88/37-69,.477/.536,25-54/6-23,.463/.261,16-20/27-37,.800-.730,42/45 -3,24/19,15/21,3/3,15/9,27/20
Monmouth College,02/27/15,98-89,9,28-71/29-63,.394/.460,15-47/0-2,.319/.000,27-35/31-40,.771-.775,31/57 -26,15/9,14/27,3/0,8/5,29/29
St. Norbert College,02/28/15,73-91,-18,24-64/32-56,.375/.571,20-51/5-7,.392/.714,5-10/22-27,.500-.815,29/42 -13,20/22,7/6,1/3,3/5,22/14
