Name,GP,TO,TO/G
"#21 Bayer, Braedon",25,69,2.8
"#24 Taylor, Jack",25,62,2.5
"#02 Yeager, Luke",25,51,2.0
"#03 Parker, Kyle",18,36,2.0
"#13 Porter, Mike",24,23,1.0
"#44 Zachary, Tague",25,22,0.9
"#12 Marx, Julian",23,15,0.7
"#23 Phillip, Ikaika",25,11,0.4
"#22 Thomas, Danny",16,11,0.7
"#33 Curta, Nick",25,10,0.4
"#35 Ekstrand, Jacob",25,10,0.4
"#10 Jasaitis , Matt",23,10,0.4
"#42 Van Oort, Jake",23,9,0.4
"#11 King, Gus",17,8,0.5
"#25 Balcom, Nathan",25,6,0.2
"#15 Bartuch, Dylan",24,4,0.2
"#04 LaMacchia, Anthony",20,4,0.2
"#54 Redhead, Andrew",13,4,0.3
"#45 Cullinane, Sean",20,3,0.2
"#05 Gardner, Hayes",14,2,0.1
"#03 Page, James",9,2,0.2
#TM Team,20,2,0.1
"#22 LeMoine, Brent",6,1,0.2
