0,1,2,3
Grinnell College,328,40,2nd
Vrishali Sinha,75,3,t-2nd
Vidushi Sinha,76,4,t-4th
Julia Echikson,86,14,9th
Anisha Agarwalla,91,19,11th
Arina Kim,99,27,12th
