0,1,2,3,4,5
Grinnell College,338,324,662,102,t-10th
Vrishali Sinha,75,75,150,10,t-4th
Vidushi Sinha,76,77,153,13,11th
Anisha Agarwalla,89,91,180,40,t-72nd
Julia Echikson,98,82,180,40,t-72nd
Arina Kim,100,90,190,50,79th
