0,1,2,3
Grinnell College,314,26,1st
Vidushi Sinha,71,-1,1st
Anisha Agarwalla,80,8,t-2nd
Vrishali Sinha,80,8,t-2nd
Samanike Hengst#,83,11,t-7th
Sam Nakahira,83,11,t-7th
Julia Echikson#,84,12,t-9th
Lauren Yi,85,13,11th
Arina Kim#,87,15,12th
