0,1,2,3,4,5,6
Grinnell College,327,323,331,981,105,1st
Vrishali Sinha,74,74,73,221,2,1st
Vidushi Sinha,75,77,80,232,13,2nd
Anisha Agarwalla,88,90,87,265,46,5th
Sam Nakahira,96,83,91,270,51,7th
Julia Echikson,91,89,91,271,52,8th
Lauren Yi,90,96,91,277,58,15th
